Sample Names	MutationType	ID83A	ID83B
TCGA-3C-AALI-01	4:Del:R:4	0.06290263333478582	0.9370973666652143
TCGA-3C-AALI-01	4:Del:R:5	0.06290263348252492	0.937097366517475
TCGA-3C-AALI-01	5:Del:R:0	2.4875745900751894e-09	0.9999999975124255
TCGA-3C-AALI-01	5:Del:R:1	0.06290263333478582	0.9370973666652143
TCGA-3C-AALI-01	5:Del:R:2	0.06290263348252492	0.937097366517475
TCGA-3C-AALI-01	5:Del:R:3	0.06290263333478582	0.9370973666652143
TCGA-3C-AALI-01	5:Del:R:4	0.06290263348252492	0.937097366517475
TCGA-3C-AALI-01	5:Del:R:5	0.06290263333478582	0.9370973666652143
TCGA-3C-AALI-01	2:Ins:R:0	6.931706274620268e-06	0.9999930682937255
TCGA-3C-AALI-01	2:Ins:R:1	3.579100802494035e-06	0.9999964208991975
TCGA-3C-AALI-01	2:Ins:R:2	5.987386133790044e-06	0.9999940126138661
TCGA-3C-AALI-01	2:Ins:R:3	0.003132401850130973	0.9968675981498689
TCGA-3C-AALI-01	2:Ins:R:4	0.00040190628894629343	0.9995980937110537
TCGA-3C-AALI-01	2:Ins:R:5	0.0001029182058949274	0.9998970817941051
TCGA-3C-AALI-01	3:Ins:R:0	1.0369370937023033e-05	0.999989630629063
TCGA-3C-AALI-01	3:Ins:R:1	1.364709236907136e-05	0.9999863529076309
TCGA-3C-AALI-01	3:Ins:R:2	0.0030129654367924853	0.9969870345632075
TCGA-3C-AALI-01	3:Ins:R:3	0.06290263348252492	0.937097366517475
TCGA-3C-AALI-01	3:Ins:R:4	0.0007749201211592476	0.9992250798788409
TCGA-3C-AALI-01	3:Ins:R:5	0.020382789193151698	0.9796172108068484
TCGA-3C-AALI-01	4:Ins:R:0	1.978655156665208e-05	0.9999802134484332
TCGA-3C-AALI-01	4:Ins:R:1	8.934386036548639e-06	0.9999910656139634
TCGA-3C-AALI-01	4:Ins:R:2	8.265975844253314e-05	0.9999173402415574
TCGA-3C-AALI-01	4:Ins:R:3	0.06290263348252492	0.937097366517475
TCGA-3C-AALI-01	4:Ins:R:4	0.06290263348252492	0.937097366517475
TCGA-3C-AALI-01	4:Ins:R:5	0.0027673018464240647	0.9972326981535761
TCGA-3C-AALI-01	5:Ins:R:0	7.942071124483547e-06	0.9999920579288756
TCGA-3C-AALI-01	5:Ins:R:1	3.7984657254572976e-06	0.9999962015342745
TCGA-3C-AALI-01	5:Ins:R:2	0.06290263348252492	0.937097366517475
TCGA-3C-AALI-01	5:Ins:R:3	0.06290263348252492	0.937097366517475
TCGA-3C-AALI-01	5:Ins:R:4	0.0035117479668709643	0.9964882520331291
TCGA-3C-AALI-01	5:Ins:R:5	0.0015612783816501268	0.9984387216183498
TCGA-3C-AALI-01	2:Del:M:1	1.0563224284575702e-06	0.9999989436775716
TCGA-3C-AALI-01	3:Del:M:1	8.760838188358909e-07	0.9999991239161813
TCGA-3C-AALI-01	3:Del:M:2	3.2014764456366356e-06	0.9999967985235544
TCGA-3C-AALI-01	4:Del:M:1	1.8859885287835768e-06	0.9999981140114712
TCGA-3C-AALI-01	4:Del:M:2	6.85295799104654e-06	0.9999931470420089
TCGA-3C-AALI-01	4:Del:M:3	2.7067637345908553e-05	0.999972932362654
TCGA-3C-AALI-01	5:Del:M:1	1.925750757798297e-07	0.9999998074249243
TCGA-3C-AALI-01	5:Del:M:2	1.2518465299892135e-06	0.99999874815347
TCGA-3C-AALI-01	5:Del:M:3	5.487109152584176e-06	0.9999945128908474
TCGA-3C-AALI-01	5:Del:M:4	1.3931889992831835e-05	0.9999860681100071
TCGA-3C-AALI-01	5:Del:M:5	0.08384671365999605	0.9161532863400039
TCGA-3C-AALJ-01	1:Del:C:0	0.0	1.0
TCGA-3C-AALJ-01	1:Del:C:1	0.0	1.0
TCGA-3C-AALJ-01	1:Del:C:2	0.0	1.0
TCGA-3C-AALJ-01	1:Del:C:3	0.0	1.0
TCGA-3C-AALJ-01	1:Del:C:4	0.0	1.0
TCGA-3C-AALJ-01	1:Del:C:5	0.0	1.0
TCGA-3C-AALJ-01	1:Del:T:0	0.0	1.0
TCGA-3C-AALJ-01	1:Del:T:1	0.0	1.0
TCGA-3C-AALJ-01	1:Del:T:2	0.0	1.0
TCGA-3C-AALJ-01	1:Del:T:3	0.0	1.0
TCGA-3C-AALJ-01	1:Del:T:4	0.0	1.0
TCGA-3C-AALJ-01	1:Del:T:5	0.0	1.0
TCGA-3C-AALJ-01	1:Ins:C:0	0.0	1.0
TCGA-3C-AALJ-01	1:Ins:C:1	0.0	1.0
TCGA-3C-AALJ-01	1:Ins:C:2	0.0	1.0
TCGA-3C-AALJ-01	1:Ins:C:3	0.0	1.0
TCGA-3C-AALJ-01	1:Ins:C:4	0.0	1.0
TCGA-3C-AALJ-01	1:Ins:C:5	0.0	1.0
TCGA-3C-AALJ-01	1:Ins:T:0	0.0	1.0
TCGA-3C-AALJ-01	1:Ins:T:1	0.0	1.0
TCGA-3C-AALJ-01	1:Ins:T:2	0.0	1.0
TCGA-3C-AALJ-01	1:Ins:T:3	0.0	1.0
TCGA-3C-AALJ-01	1:Ins:T:4	0.0	1.0
TCGA-3C-AALJ-01	1:Ins:T:5	0.0	1.0
TCGA-3C-AALJ-01	2:Del:R:0	0.0	1.0
TCGA-3C-AALJ-01	2:Del:R:1	0.0	1.0
TCGA-3C-AALJ-01	2:Del:R:2	0.0	1.0
TCGA-3C-AALJ-01	2:Del:R:3	0.0	1.0
TCGA-3C-AALJ-01	2:Del:R:4	0.0	1.0
TCGA-3C-AALJ-01	2:Del:R:5	0.0	1.0
TCGA-3C-AALJ-01	3:Del:R:0	0.0	1.0
TCGA-3C-AALJ-01	3:Del:R:1	0.0	1.0
TCGA-3C-AALJ-01	3:Del:R:2	0.0	1.0
TCGA-3C-AALJ-01	3:Del:R:3	0.0	1.0
TCGA-3C-AALJ-01	3:Del:R:4	0.0	1.0
TCGA-3C-AALJ-01	3:Del:R:5	0.0	1.0
TCGA-3C-AALJ-01	4:Del:R:0	0.0	1.0
TCGA-3C-AALJ-01	4:Del:R:1	0.0	1.0
TCGA-3C-AALJ-01	4:Del:R:2	0.0	1.0
TCGA-3C-AALJ-01	4:Del:R:3	0.0	1.0
TCGA-3C-AALJ-01	4:Del:R:4	0.0	1.0
TCGA-3C-AALJ-01	4:Del:R:5	0.0	1.0
TCGA-3C-AALJ-01	5:Del:R:0	0.0	1.0
TCGA-3C-AALJ-01	5:Del:R:1	0.0	1.0
TCGA-3C-AALJ-01	5:Del:R:2	0.0	1.0
TCGA-3C-AALJ-01	5:Del:R:3	0.0	1.0
TCGA-3C-AALJ-01	5:Del:R:4	0.0	1.0
TCGA-3C-AALJ-01	5:Del:R:5	0.0	1.0
TCGA-3C-AALJ-01	2:Ins:R:0	0.0	1.0
TCGA-3C-AALJ-01	2:Ins:R:1	0.0	1.0
TCGA-3C-AALJ-01	2:Ins:R:2	0.0	1.0
TCGA-3C-AALJ-01	2:Ins:R:3	0.0	1.0
TCGA-3C-AALJ-01	2:Ins:R:4	0.0	1.0
TCGA-3C-AALJ-01	2:Ins:R:5	0.0	1.0
TCGA-3C-AALJ-01	3:Ins:R:0	0.0	1.0
TCGA-3C-AALJ-01	3:Ins:R:1	0.0	1.0
