Samples	ID1	ID2	ID7	ID8	ID15	ID83B	ID83C
TCGA-AR-A1AO-01	0	0	0	0	0	0	3
TCGA-AR-A1AP-01	0	0	0	0	0	0	1
TCGA-AR-A1AQ-01	0	3	0	0	0	6	0
TCGA-AR-A1AR-01	0	0	0	0	0	5	0
TCGA-AR-A1AS-01	0	0	0	2	0	0	0
TCGA-AR-A1AT-01	0	0	0	0	3	2	0
TCGA-AR-A1AU-01	0	0	0	0	0	0	1
TCGA-AR-A1AV-01	0	0	0	5	0	0	0
TCGA-AR-A1AW-01	0	0	0	0	1	0	0
TCGA-AR-A1AX-01	0	0	0	2	0	0	0
TCGA-AR-A1AY-01	0	0	0	0	0	1	4
TCGA-AR-A24H-01	0	0	0	10	0	3	0
TCGA-AR-A24K-01	0	0	0	0	0	0	1
TCGA-AR-A24L-01	1	0	0	1	0	2	0
TCGA-AR-A24M-01	0	0	0	0	2	0	0
TCGA-AR-A24N-01	0	0	0	0	0	0	1
TCGA-AR-A24O-01	0	0	0	1	0	0	0
TCGA-AR-A24P-01	3	0	0	0	0	0	0
TCGA-AR-A24Q-01	0	0	0	3	0	4	0
TCGA-AR-A24R-01	0	0	0	0	0	0	5
TCGA-AR-A24S-01	0	0	0	2	0	0	0
TCGA-AR-A24T-01	0	0	0	4	0	0	0
TCGA-AR-A24U-01	0	0	0	1	0	0	0
TCGA-AR-A24W-01	0	0	0	0	0	0	1
TCGA-AR-A24X-01	0	1	0	0	0	0	1
TCGA-AR-A24Z-01	0	0	0	3	0	0	0
TCGA-AR-A250-01	0	0	0	0	0	0	8
TCGA-AR-A251-01	0	0	0	12	0	0	0
TCGA-AR-A254-01	0	0	0	0	0	1	0
TCGA-AR-A255-01	0	0	0	1	0	0	3
TCGA-AR-A256-01	0	0	0	20	0	0	0
TCGA-AR-A2LE-01	1	0	0	2	0	0	0
TCGA-AR-A2LH-01	0	0	0	0	2	0	0
TCGA-AR-A2LK-01	0	0	0	3	0	0	0
TCGA-AR-A2LL-01	0	0	0	0	0	2	0
TCGA-AR-A2LM-01	0	0	0	0	0	0	1
TCGA-AR-A2LN-01	3	0	0	0	0	0	0
TCGA-AR-A2LR-01	1	0	0	2	3	0	0
TCGA-AR-A5QM-01	0	0	0	0	0	0	2
TCGA-AR-A5QN-01	0	0	0	0	0	2	5
TCGA-AR-A5QP-01	0	0	0	0	0	1	1
TCGA-AR-A5QQ-01	0	0	0	0	0	0	6
TCGA-B6-A0I1-01	0	0	0	4	0	0	5
TCGA-B6-A0IH-01	0	0	0	1	0	0	2
TCGA-B6-A0RH-01	0	0	0	4	0	0	0
TCGA-B6-A0RL-01	1	0	0	0	2	0	0
TCGA-B6-A0RM-01	0	0	0	2	0	2	0
TCGA-B6-A0RN-01	0	0	3	0	0	0	0
TCGA-B6-A0RO-01	0	0	0	4	0	0	0
TCGA-B6-A0RQ-01	0	0	0	0	0	1	0
TCGA-B6-A0RT-01	0	0	0	0	1	0	0
TCGA-B6-A0RU-01	0	0	0	3	0	1	0
TCGA-B6-A0WS-01	0	0	0	0	0	0	1
TCGA-B6-A0WT-01	0	0	0	0	0	1	0
TCGA-B6-A0WV-01	0	0	0	0	0	0	9
TCGA-B6-A0WW-01	0	0	0	4	0	0	0
TCGA-B6-A0WX-01	0	0	0	0	0	0	1
TCGA-B6-A0WY-01	0	0	0	4	0	0	0
TCGA-B6-A0X0-01	0	0	0	1	0	0	1
TCGA-B6-A0X1-01	0	0	0	5	0	2	0
TCGA-B6-A0X4-01	0	0	0	0	0	2	0
TCGA-B6-A0X5-01	0	4	0	0	0	0	0
TCGA-B6-A0X7-01	0	0	0	3	0	0	0
TCGA-B6-A1KN-01	0	0	0	0	0	0	4
TCGA-B6-A2IU-01	0	0	0	1	0	0	0
TCGA-B6-A401-01	0	0	0	1	0	1	0
TCGA-B6-A409-01	0	0	0	0	0	0	2
TCGA-B6-A40B-01	0	0	0	2	0	0	0
TCGA-B6-A40C-01	3	0	0	0	0	0	0
TCGA-BH-A0AU-01	0	0	0	2	0	0	0
TCGA-BH-A0AV-01	0	0	0	4	0	0	0
TCGA-BH-A0AY-01	0	0	0	0	0	0	3
TCGA-BH-A0AZ-01	0	0	0	9	0	0	0
TCGA-BH-A0B3-01	0	0	0	2	0	0	0
TCGA-BH-A0B6-01	2	0	0	0	0	4	0
TCGA-BH-A0B7-01	0	0	0	0	0	1	0
TCGA-BH-A0BA-01	0	0	0	2	0	0	0
TCGA-BH-A0BF-01	0	0	0	0	0	0	3
TCGA-BH-A0BG-01	0	0	0	0	0	0	2
TCGA-BH-A0BJ-01	1	0	0	0	0	0	0
TCGA-BH-A0BL-01	0	0	0	4	0	0	0
TCGA-BH-A0BM-01	0	0	0	0	0	2	0
TCGA-BH-A0BO-01	0	0	0	0	0	3	0
TCGA-BH-A0BP-01	0	0	0	0	0	0	6
TCGA-BH-A0BS-01	0	0	0	0	0	0	3
TCGA-BH-A0BT-01	0	0	0	0	0	0	1
TCGA-BH-A0BV-01	0	0	0	0	0	0	1
TCGA-BH-A0BW-01	2	0	0	6	0	0	7
TCGA-BH-A0BZ-01	0	0	0	35	0	0	0
TCGA-BH-A0C0-01	0	0	0	0	0	1	0
TCGA-BH-A0C1-01	0	0	0	1	0	2	0
TCGA-BH-A0C3-01	0	0	0	0	0	0	1
TCGA-BH-A0C7-01	0	0	0	1	2	0	0
TCGA-BH-A0DE-01	0	0	0	3	0	1	0
TCGA-BH-A0DG-01	0	0	0	0	0	0	1
TCGA-BH-A0DH-01	0	0	0	0	0	4	0
TCGA-BH-A0DI-01	0	0	0	2	0	0	0
TCGA-BH-A0DK-01	0	0	0	0	0	0	4
TCGA-BH-A0DL-01	0	0	0	0	0	0	1
TCGA-BH-A0DO-01	0	0	0	0	5	0	0
