Samples	ID83A	ID83B
TCGA-AN-A0XV-01	1.67E-01	1.67E-01
TCGA-AN-A0XW-01	0.00E+00	0.00E+00
TCGA-AO-A03U-01	0.00E+00	0.00E+00
TCGA-AO-A03V-01	0.00E+00	0.00E+00
TCGA-AO-A0JG-01	0.00E+00	0.00E+00
TCGA-AO-A124-01	2.25E-01	2.25E-01
TCGA-AO-A125-01	0.00E+00	0.00E+00
TCGA-AO-A126-01	0.00E+00	0.00E+00
TCGA-AO-A128-01	1.19E+00	1.19E+00
TCGA-AO-A129-01	2.25E-01	2.25E-01
TCGA-AO-A12A-01	0.00E+00	0.00E+00
TCGA-AO-A12B-01	1.38E-01	1.40E-01
TCGA-AO-A12D-01	0.00E+00	0.00E+00
TCGA-AO-A12E-01	1.24E-01	1.13E-01
TCGA-AO-A12F-01	2.22E-01	2.22E-01
TCGA-AO-A12G-01	1.89E-01	1.89E-01
TCGA-AO-A12H-01	0.00E+00	0.00E+00
TCGA-AO-A1KR-01	0.00E+00	0.00E+00
TCGA-AO-A1KT-01	0.00E+00	0.00E+00
TCGA-AQ-A04H-01	1.52E-01	1.52E-01
TCGA-AQ-A0Y5-01	1.64E-01	1.64E-01
TCGA-AQ-A1H2-01	1.70E-01	1.70E-01
TCGA-AQ-A1H3-01	0.00E+00	0.00E+00
TCGA-AQ-A54O-01	0.00E+00	0.00E+00
TCGA-AQ-A7U7-01	1.21E-01	1.21E-01
TCGA-AR-A0TP-01	1.78E-01	1.78E-01
TCGA-AR-A0TQ-01	0.00E+00	0.00E+00
TCGA-AR-A0TR-01	1.76E-01	1.76E-01
TCGA-AR-A0TS-01	2.07E-01	2.07E-01
TCGA-AR-A0TT-01	1.35E-01	1.35E-01
TCGA-AR-A0TU-01	0.00E+00	0.00E+00
TCGA-AR-A0TV-01	1.88E-01	1.88E-01
TCGA-AR-A0TW-01	1.62E-01	1.62E-01
TCGA-AR-A0TX-01	1.12E-01	1.12E-01
TCGA-AR-A0TZ-01	1.35E-01	1.35E-01
TCGA-AR-A0U0-01	0.00E+00	0.00E+00
TCGA-AR-A0U1-01	0.00E+00	0.00E+00
TCGA-AR-A0U2-01	0.00E+00	0.00E+00
TCGA-AR-A0U3-01	1.67E-01	1.67E-01
TCGA-AR-A0U4-01	2.49E-01	2.49E-01
TCGA-AR-A1AH-01	1.62E-01	1.62E-01
TCGA-AR-A1AI-01	1.66E-01	1.66E-01
TCGA-AR-A1AJ-01	0.00E+00	0.00E+00
TCGA-AR-A1AK-01	0.00E+00	0.00E+00
TCGA-AR-A1AL-01	1.36E-01	1.36E-01
TCGA-AR-A1AN-01	0.00E+00	0.00E+00
TCGA-AR-A1AO-01	0.00E+00	0.00E+00
TCGA-AR-A1AP-01	0.00E+00	0.00E+00
TCGA-AR-A1AQ-01	2.69E-01	2.69E-01
TCGA-AR-A1AR-01	1.52E-01	1.52E-01
TCGA-AR-A1AS-01	0.00E+00	0.00E+00
TCGA-AR-A1AT-01	0.00E+00	0.00E+00
TCGA-AR-A1AU-01	0.00E+00	0.00E+00
TCGA-AR-A1AV-01	0.00E+00	0.00E+00
TCGA-AR-A1AW-01	0.00E+00	0.00E+00
TCGA-AR-A1AX-01	1.21E-01	1.21E-01
TCGA-AR-A1AY-01	7.43E-02	7.43E-02
TCGA-AR-A24H-01	2.51E-01	2.51E-01
TCGA-AR-A24K-01	0.00E+00	0.00E+00
TCGA-AR-A24L-01	1.90E-01	1.90E-01
TCGA-AR-A24M-01	1.17E-01	1.17E-01
TCGA-AR-A24N-01	0.00E+00	0.00E+00
TCGA-AR-A24O-01	0.00E+00	0.00E+00
TCGA-AR-A24P-01	0.00E+00	0.00E+00
TCGA-AR-A24Q-01	2.73E-01	2.73E-01
TCGA-AR-A24R-01	1.86E-01	1.86E-01
TCGA-AR-A24S-01	0.00E+00	0.00E+00
TCGA-AR-A24T-01	0.00E+00	0.00E+00
TCGA-AR-A24U-01	0.00E+00	0.00E+00
TCGA-AR-A24W-01	0.00E+00	0.00E+00
TCGA-AR-A24X-01	1.30E-01	1.30E-01
TCGA-AR-A24Z-01	1.97E-01	1.97E-01
TCGA-AR-A250-01	1.03E-01	1.03E-01
TCGA-AR-A251-01	2.35E-01	2.35E-01
TCGA-AR-A254-01	0.00E+00	0.00E+00
TCGA-AR-A255-01	0.00E+00	0.00E+00
TCGA-AR-A256-01	1.88E-01	1.88E-01
TCGA-AR-A2LE-01	1.71E-01	1.71E-01
TCGA-AR-A2LH-01	1.26E-01	1.26E-01
TCGA-AR-A2LK-01	1.36E-01	1.36E-01
TCGA-AR-A2LL-01	1.57E-01	1.59E-01
TCGA-AR-A2LM-01	0.00E+00	0.00E+00
TCGA-AR-A2LN-01	0.00E+00	0.00E+00
TCGA-AR-A2LR-01	2.44E-01	2.51E-01
TCGA-AR-A5QM-01	0.00E+00	0.00E+00
TCGA-AR-A5QN-01	6.31E-02	6.31E-02
TCGA-AR-A5QP-01	1.51E-01	1.53E-01
TCGA-AR-A5QQ-01	0.00E+00	0.00E+00
TCGA-B6-A0I1-01	1.69E-01	1.69E-01
TCGA-B6-A0IH-01	0.00E+00	0.00E+00
TCGA-B6-A0RH-01	0.00E+00	0.00E+00
TCGA-B6-A0RL-01	1.43E-01	1.43E-01
TCGA-B6-A0RM-01	1.26E-01	1.26E-01
TCGA-B6-A0RN-01	1.62E-01	1.62E-01
TCGA-B6-A0RO-01	0.00E+00	0.00E+00
TCGA-B6-A0RQ-01	0.00E+00	0.00E+00
TCGA-B6-A0RT-01	0.00E+00	0.00E+00
TCGA-B6-A0RU-01	1.64E-01	1.64E-01
TCGA-B6-A0WS-01	0.00E+00	0.00E+00
TCGA-B6-A0WT-01	0.00E+00	0.00E+00
TCGA-B6-A0WV-01	4.63E-02	4.63E-02
TCGA-B6-A0WW-01	1.60E-01	1.60E-01
TCGA-B6-A0WX-01	0.00E+00	0.00E+00
TCGA-B6-A0WY-01	0.00E+00	0.00E+00
TCGA-B6-A0X0-01	0.00E+00	0.00E+00
TCGA-B6-A0X1-01	1.11E-01	1.11E-01
TCGA-B6-A0X4-01	1.76E-01	1.76E-01
TCGA-B6-A0X5-01	2.43E-01	2.43E-01
TCGA-B6-A0X7-01	0.00E+00	0.00E+00
TCGA-B6-A1KN-01	0.00E+00	0.00E+00
TCGA-B6-A2IU-01	0.00E+00	0.00E+00
TCGA-B6-A401-01	1.43E-01	1.43E-01
TCGA-B6-A409-01	0.00E+00	0.00E+00
TCGA-B6-A40B-01	0.00E+00	0.00E+00
TCGA-B6-A40C-01	0.00E+00	0.00E+00
TCGA-BH-A0AU-01	0.00E+00	0.00E+00
TCGA-BH-A0AV-01	1.67E-01	1.67E-01
TCGA-BH-A0AY-01	0.00E+00	0.00E+00
TCGA-BH-A0AZ-01	2.73E-01	2.73E-01
TCGA-BH-A0B3-01	0.00E+00	0.00E+00
TCGA-BH-A0B6-01	1.64E-01	1.64E-01
TCGA-BH-A0B7-01	0.00E+00	0.00E+00
TCGA-BH-A0BA-01	1.30E-01	1.30E-01
TCGA-BH-A0BF-01	0.00E+00	0.00E+00
TCGA-BH-A0BG-01	0.00E+00	0.00E+00
TCGA-BH-A0BJ-01	0.00E+00	0.00E+00
TCGA-BH-A0BL-01	1.45E-01	1.45E-01
