Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
TCGA-A2-A0T6-01	0.00E+00	4.63E-02	4.63E-02	3.33E-02	3.33E-02	5.57E-02	0.00E+00	3.33E-02	6.92E-02	7.85E-02	6.92E-02	0.00E+00	5.57E-02
TCGA-A2-A0T7-01	0.00E+00	0.00E+00	4.63E-02	0.00E+00	0.00E+00	0.00E+00	6.67E-02	3.33E-02	1.50E-01	1.17E-01	6.67E-02	7.93E-02	1.04E-01
TCGA-A2-A0YC-01	6.67E-02	6.67E-02	0.00E+00	0.00E+00	4.63E-02	0.00E+00	0.00E+00	0.00E+00	1.49E-01	9.26E-02	9.69E-02	7.35E-02	6.92E-02
TCGA-A2-A0YD-01	6.92E-02	1.24E-01	8.21E-02	1.09E-01	1.82E-01	0.00E+00	0.00E+00	7.35E-02	1.57E-01	1.57E-01	1.21E-01	1.24E-01	1.95E-01
TCGA-A2-A0YE-01	7.35E-02	1.08E-01	1.80E-01	7.35E-02	3.33E-02	8.42E-02	1.00E-01	1.78E-01	1.24E-01	9.26E-02	1.14E-01	1.33E-01	3.33E-02
TCGA-A2-A0YF-01	0.00E+00	6.67E-02	1.01E-01	4.63E-02	0.00E+00	7.93E-02	1.06E-01	3.33E-02	1.83E-01	2.37E-01	2.46E-01	1.91E-01	1.80E-01
TCGA-A2-A0YG-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.33E-02	3.33E-02	0.00E+00	5.57E-02	9.20E-02	7.85E-02	3.33E-02	0.00E+00
TCGA-A2-A0YH-01	0.00E+00	0.00E+00	6.92E-02	3.33E-02	0.00E+00	3.33E-02	0.00E+00	0.00E+00	4.63E-02	7.85E-02	3.33E-02	6.92E-02	8.21E-02
TCGA-A2-A0YJ-01	4.63E-02	0.00E+00	3.33E-02	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	5.57E-02	6.92E-02	7.43E-02	7.85E-02	7.43E-02
TCGA-A2-A0YK-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA-A2-A0YL-01	6.67E-02	3.33E-02	6.67E-02	0.00E+00	9.26E-02	3.33E-02	0.00E+00	0.00E+00	1.06E-01	1.19E-01	1.14E-01	1.50E-01	1.11E-01
TCGA-A2-A0YM-01	3.33E-02	0.00E+00	6.67E-02	0.00E+00	0.00E+00	1.53E-01	3.33E-02	6.67E-02	1.14E-01	4.63E-02	1.11E-01	6.92E-02	1.73E-01
TCGA-A2-A0YT-01	1.36E-01	7.35E-02	3.33E-02	7.93E-02	6.67E-02	3.33E-02	0.00E+00	0.00E+00	1.90E-01	1.04E-01	2.27E-01	1.11E-01	3.33E-02
TCGA-A2-A1FV-01	2.00E-01	6.67E-02	6.67E-02	0.00E+00	4.63E-02	3.33E-02	2.00E-01	0.00E+00	1.38E-01	1.40E-01	2.62E-01	1.95E-01	1.82E-01
TCGA-A2-A1FW-01	4.63E-02	6.67E-02	0.00E+00	0.00E+00	0.00E+00	1.42E-01	8.84E-02	0.00E+00	8.42E-02	1.01E-01	1.54E-01	9.20E-02	2.13E-01
TCGA-A2-A1FZ-01	7.35E-02	3.33E-02	9.69E-02	1.39E-01	0.00E+00	0.00E+00	3.33E-02	0.00E+00	1.77E-01	1.83E-01	1.63E-01	1.21E-01	1.55E-01
TCGA-A2-A1G0-01	0.00E+00	0.00E+00	0.00E+00	1.35E-01	0.00E+00	0.00E+00	0.00E+00	4.63E-02	9.20E-02	0.00E+00	1.51E-01	1.53E-01	0.00E+00
TCGA-A2-A1G1-01	1.00E-01	6.67E-02	5.57E-02	4.63E-02	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.07E-01	9.51E-02	2.13E-01	6.31E-02	1.19E-01
TCGA-A2-A259-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.37E-01	0.00E+00	4.63E-02	1.40E-01	0.00E+00
TCGA-A2-A25A-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA-A2-A25B-01	1.48E-01	0.00E+00	0.00E+00	1.14E-01	1.85E-01	0.00E+00	0.00E+00	0.00E+00	1.28E-01	1.96E-01	2.80E-01	2.47E-01	1.50E-01
TCGA-A2-A25C-01	3.33E-02	3.33E-02	4.63E-02	0.00E+00	3.33E-02	3.33E-02	5.57E-02	4.63E-02	4.63E-02	6.31E-02	4.63E-02	8.21E-02	5.57E-02
TCGA-A2-A25D-01	0.00E+00	0.00E+00	1.04E-01	1.49E-01	2.13E-01	1.47E-01	6.67E-02	2.18E-01	1.71E-01	1.38E-01	1.70E-01	2.22E-01	1.72E-01
TCGA-A2-A25E-01	0.00E+00	6.67E-02	7.93E-02	0.00E+00	0.00E+00	3.33E-02	0.00E+00	0.00E+00	1.64E-01	1.49E-01	1.71E-01	1.51E-01	1.06E-01
TCGA-A2-A3XT-01	6.67E-02	7.35E-02	6.67E-02	0.00E+00	0.00E+00	6.67E-02	3.33E-02	3.33E-02	2.29E-01	3.33E-02	1.39E-01	1.86E-01	7.35E-02
TCGA-A2-A3XU-01	0.00E+00	0.00E+00	6.31E-02	0.00E+00	0.00E+00	0.00E+00	8.84E-02	3.33E-02	2.05E-01	2.20E-01	1.38E-01	1.49E-01	2.06E-01
TCGA-A2-A3XV-01	0.00E+00	3.33E-02	1.00E-01	3.33E-02	0.00E+00	1.50E-01	0.00E+00	0.00E+00	1.23E-01	1.33E-01	2.27E-01	1.50E-01	0.00E+00
TCGA-A2-A3XX-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6.67E-02	0.00E+00	1.48E-01	0.00E+00	4.63E-02	9.69E-02	1.46E-01
TCGA-A2-A3XZ-01	0.00E+00	3.33E-02	1.00E-01	0.00E+00	3.33E-02	1.54E-01	3.33E-02	3.33E-02	1.68E-01	1.64E-01	4.63E-02	7.93E-02	1.33E-01
TCGA-A2-A3Y0-01	0.00E+00	0.00E+00	0.00E+00	2.00E-01	0.00E+00	6.67E-02	0.00E+00	1.18E-01	2.59E-01	6.67E-02	1.61E-01	2.80E-01	3.33E-02
TCGA-A2-A4S1-01	1.61E-01	1.64E-01	1.01E-01	1.08E-01	7.35E-02	7.35E-02	2.12E-01	1.88E-01	1.83E-01	6.92E-02	1.28E-01	1.64E-01	6.92E-02
TCGA-A2-A4S2-01	0.00E+00	3.33E-02	1.45E-01	1.21E-01	0.00E+00	0.00E+00	1.00E-01	0.00E+00	1.49E-01	1.62E-01	1.57E-01	1.41E-01	9.20E-02
TCGA-A2-A4S3-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.48E-01	0.00E+00	9.26E-02	4.63E-02	1.49E-01
TCGA-A7-A0CH-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.63E-02	0.00E+00	1.54E-01	1.41E-01	0.00E+00	3.33E-02	1.41E-01	0.00E+00
TCGA-A7-A0DA-01	1.04E-01	6.67E-02	1.19E-01	0.00E+00	0.00E+00	3.02E-01	1.90E-01	0.00E+00	4.09E-01	2.12E-01	2.62E-01	3.68E-01	1.40E-01
TCGA-A7-A0DB-01	0.00E+00	0.00E+00	6.67E-02	3.33E-02	0.00E+00	6.67E-02	6.67E-02	0.00E+00	5.57E-02	1.57E-01	1.32E-01	8.42E-02	1.57E-01
TCGA-A7-A13D-01	1.80E-01	0.00E+00	3.33E-02	9.26E-02	3.33E-02	1.08E-01	2.90E-01	2.22E-01	3.69E-01	4.52E-01	4.41E-01	2.02E-01	2.05E-01
TCGA-A7-A13E-01	1.79E-01	6.67E-02	5.57E-02	4.63E-02	3.33E-02	6.67E-02	2.00E-01	6.67E-02	3.31E-01	3.34E-01	2.78E-01	2.77E-01	2.01E-01
TCGA-A7-A13F-01	4.63E-02	3.33E-02	0.00E+00	0.00E+00	0.00E+00	1.59E-01	9.69E-02	0.00E+00	1.04E-01	2.57E-01	2.37E-01	1.41E-01	1.37E-01
TCGA-A7-A13G-01	0.00E+00	0.00E+00	0.00E+00	1.36E-01	0.00E+00	0.00E+00	0.00E+00	5.57E-02	0.00E+00	0.00E+00	1.17E-01	0.00E+00	0.00E+00
TCGA-A7-A26E-01	3.33E-02	0.00E+00	6.67E-02	1.62E-01	0.00E+00	0.00E+00	0.00E+00	6.31E-02	7.93E-02	1.26E-01	1.21E-01	1.76E-01	1.49E-01
TCGA-A7-A26F-01	0.00E+00	6.67E-02	1.04E-01	3.33E-02	1.82E-01	0.00E+00	0.00E+00	3.33E-02	1.41E-01	1.94E-01	1.69E-01	1.14E-01	1.64E-01
TCGA-A7-A26G-01	1.59E-01	0.00E+00	1.54E-01	1.08E-01	6.67E-02	3.33E-02	0.00E+00	0.00E+00	1.39E-01	1.49E-01	3.33E-02	1.53E-01	1.57E-01
TCGA-A7-A26H-01	3.33E-02	6.67E-02	0.00E+00	0.00E+00	0.00E+00	4.63E-02	0.00E+00	0.00E+00	1.64E-01	1.41E-01	1.50E-01	9.26E-02	9.69E-02
TCGA-A7-A26I-01	6.31E-02	0.00E+00	0.00E+00	5.57E-02	3.33E-02	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA-A7-A26J-01	1.33E-01	0.00E+00	0.00E+00	4.63E-02	0.00E+00	2.20E-01	0.00E+00	1.08E-01	1.66E-01	1.63E-01	1.28E-01	1.24E-01	2.38E-01
TCGA-A7-A2KD-01	0.00E+00	0.00E+00	4.63E-02	3.33E-02	0.00E+00	0.00E+00	1.35E-01	0.00E+00	4.63E-02	8.84E-02	1.63E-01	4.63E-02	6.31E-02
