MutationType	ID1	ID2	ID7	ID11	ID13	ID15	ID18	ID83B	ID83C	ID83D	ID83G	ID83I
2:Ins:R:5	0.01812158	0.01363338	0.00024477	0.00028880	0.00084658	0.00000000	0.00200402	0.00000434	0.00172957	0.00058216	0.00057633	0.00071252
3:Ins:R:0	0.00000031	0.00005780	0.00000000	0.00000000	0.00008210	0.00000000	0.00400803	0.00055595	0.00549644	0.00287068	0.00147729	0.00387110
3:Ins:R:1	0.00025469	0.00122705	0.00000551	0.00020708	0.00368833	0.00000000	0.00000000	0.00136250	0.00356277	0.00051219	0.00125529	0.00188894
3:Ins:R:2	0.00004410	0.00021007	0.00005470	0.00022153	0.00020251	0.00000000	0.00000000	0.00031261	0.00036724	0.00097737	0.00140757	0.00198125
3:Ins:R:3	0.00016670	0.00000302	0.00017783	0.00002180	0.00002370	0.00000000	0.00000000	0.00000583	0.00001685	0.00001092	0.00002351	0.00002792
3:Ins:R:4	0.00008890	0.00014181	0.00041561	0.00000000	0.00000349	0.00000000	0.00000000	0.00000423	0.00001612	0.00034643	0.00032817	0.00014455
3:Ins:R:5	0.00124870	0.00186471	0.00076928	0.00009010	0.00003540	0.00000000	0.00000000	0.00091817	0.00089710	0.00000758	0.00002233	0.00193176
4:Ins:R:0	0.00000000	0.00001680	0.00000000	0.00015962	0.00111880	0.00000000	0.00000000	0.00108471	0.00132507	0.00259080	0.00109268	0.00154569
4:Ins:R:1	0.00074438	0.00120373	0.00002610	0.00037764	0.00269163	0.00000000	0.00200402	0.00000779	0.00842524	0.00001263	0.00307965	0.00465600
4:Ins:R:2	0.00007550	0.00001220	0.00019482	0.00000000	0.00006930	0.00000000	0.00000000	0.00000474	0.00076392	0.00009200	0.00051036	0.00110251
4:Ins:R:3	0.00015754	0.00013417	0.00027374	0.00000000	0.00000064	0.00000136	0.00000000	0.00000583	0.00001685	0.00001092	0.00002351	0.00002792
4:Ins:R:4	0.00031965	0.00024939	0.00025876	0.00000000	0.00001210	0.00000145	0.00000000	0.00000583	0.00001685	0.00001092	0.00002351	0.00002792
4:Ins:R:5	0.00100132	0.00219354	0.00000874	0.00000000	0.00000031	0.00000000	0.00000000	0.00000515	0.00001541	0.00013263	0.00002106	0.00063855
5:Ins:R:0	0.00000000	0.00000000	0.00000000	0.00066606	0.00259023	0.00000000	0.01202410	0.00144857	0.00119579	0.00232375	0.00677299	0.00259820
5:Ins:R:1	0.00144313	0.00013566	0.00000000	0.00115191	0.01350195	0.00000000	0.00200402	0.00518236	0.01459679	0.00026585	0.00716040	0.01028789
5:Ins:R:2	0.00025483	0.00000553	0.00000884	0.00036601	0.00004590	0.00000118	0.00000000	0.00000583	0.00001685	0.00001092	0.00002351	0.00002792
5:Ins:R:3	0.00023709	0.00009770	0.00000446	0.00000083	0.00004610	0.00000162	0.00000000	0.00000583	0.00001685	0.00001092	0.00002351	0.00002792
5:Ins:R:4	0.00026187	0.00000215	0.00001060	0.00000225	0.00000243	0.00000000	0.00000000	0.00019829	0.00047961	0.00010620	0.00005437	0.00110180
5:Ins:R:5	0.00011983	0.00011563	0.00000428	0.00000184	0.00004330	0.00000000	0.00000000	0.00000477	0.00034338	0.00017864	0.00005763	0.00055623
2:Del:M:1	0.00119782	0.00017555	0.00312706	0.00038206	0.00887241	0.00000000	0.01803614	0.00713076	0.02925874	0.00657130	0.01149113	0.06534696
3:Del:M:1	0.00008190	0.00000055	0.00025476	0.00020044	0.00114008	0.00000000	0.00000000	0.00514340	0.01334846	0.00000356	0.00717994	0.05398547
3:Del:M:2	0.00147959	0.00294406	0.00463564	0.00030174	0.00045031	0.00000000	0.00000000	0.01071537	0.02394836	0.00124774	0.00167849	0.01798841
4:Del:M:1	0.00008380	0.00014700	0.00018383	0.00000000	0.00127080	0.00000000	0.00601205	0.00063746	0.00460601	0.00000500	0.00749099	0.02215564
4:Del:M:2	0.00014548	0.00055061	0.00101904	0.00000000	0.00015972	0.00000000	0.00000000	0.00187065	0.00708777	0.00035524	0.00204992	0.01346053
4:Del:M:3	0.00016068	0.00069357	0.00071732	0.00078987	0.00027058	0.00000000	0.00000000	0.00000354	0.00278603	0.00051626	0.00088649	0.00244158
5:Del:M:1	0.00000082	0.00062496	0.00002360	0.00028279	0.01174078	0.00066088	0.03006024	0.06381242	0.01611914	0.00000361	0.16430699	0.02940958
5:Del:M:2	0.00000000	0.00011771	0.00024577	0.00037277	0.00705542	0.00043241	0.02204418	0.00389631	0.03586605	0.00595013	0.04040085	0.01218152
5:Del:M:3	0.00000000	0.00005670	0.00006160	0.00075013	0.00216598	0.00026613	0.00601205	0.00206249	0.01110679	0.00001011	0.01395228	0.00092866
5:Del:M:4	0.00003880	0.00046284	0.00006820	0.00013028	0.00028174	0.00024793	0.00400803	0.00000437	0.00419346	0.00000618	0.00504899	0.00274820
5:Del:M:5	0.00066512	0.00236732	0.00173836	0.00051895	0.01313191	0.00013983	0.00000000	0.00029067	0.00001612	0.00065643	0.00115718	0.00157514
