Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N
TCGA-A7-A26F-01	2	0	0	0	3	0	7	25	0	0	0	0	9	0
TCGA-A7-A26G-01	8	3	9	7	0	0	0	0	0	0	8	14	19	0
TCGA-A7-A26H-01	25	32	20	22	19	0	0	17	0	0	15	0	0	0
TCGA-A7-A26I-01	4	1	2	3	1	5	3	4	1	6	7	7	1	1
TCGA-A7-A26J-01	0	0	5	0	8	0	0	16	0	0	0	0	13	0
TCGA-A7-A2KD-01	6	0	0	17	0	0	4	0	0	0	7	11	0	10
TCGA-A7-A3RF-01	3	0	0	0	0	0	0	18	0	0	0	0	0	19
TCGA-A7-A425-01	0	0	0	8	0	0	0	18	0	0	7	0	0	0
TCGA-A7-A4SC-01	1	0	0	10	0	0	5	0	0	0	5	0	9	8
TCGA-A7-A4SD-01	0	0	0	23	0	0	7	11	0	0	0	0	0	21
TCGA-A7-A4SE-01	11	24	9	0	8	0	0	14	25	44	11	0	0	0
TCGA-A7-A56D-01	47	32	23	26	32	0	18	0	27	0	20	0	0	0
TCGA-A7-A5ZV-01	6	19	14	31	8	22	8	0	0	69	10	41	0	40
TCGA-A7-A5ZW-01	5	4	3	0	0	8	5	11	0	0	0	0	0	0
TCGA-A7-A5ZX-01	3	0	0	5	5	0	7	0	0	9	3	0	0	10
TCGA-A7-A6VV-01	0	5	5	12	3	0	0	10	0	0	4	25	0	0
TCGA-A7-A6VW-01	4	3	3	0	0	10	5	16	0	14	5	17	0	15
TCGA-A7-A6VX-01	19	2	18	1	13	7	2	13	14	25	14	12	11	26
TCGA-A7-A6VY-01	4	10	7	7	12	10	6	0	19	61	0	0	0	0
TCGA-A8-A075-01	11	12	0	8	11	0	0	10	0	0	16	32	0	0
TCGA-AC-A23C-01	25	12	16	10	13	15	0	0	16	0	14	0	24	0
TCGA-AC-A23E-01	0	0	0	10	0	0	4	0	0	0	0	0	10	0
TCGA-AC-A23H-01	1773	1712	1548	0	669	0	298	0	0	0	378	0	0	0
TCGA-AC-A2B8-01	33	31	14	0	27	0	8	15	0	0	0	0	0	0
TCGA-AC-A2BK-01	0	0	7	23	0	12	5	0	10	37	0	16	0	0
TCGA-AC-A2BM-01	0	3	0	4	0	0	2	0	10	0	0	7	0	0
TCGA-AC-A2FB-01	2	0	0	2	3	2	0	0	0	0	0	8	0	0
TCGA-AC-A2FF-01	0	3	0	0	4	0	0	3	0	0	1	0	0	0
TCGA-AC-A2FG-01	5	0	4	0	3	0	5	17	5	0	0	0	0	0
TCGA-AC-A2FK-01	0	0	0	0	1	0	0	0	0	0	0	0	0	2
TCGA-AC-A2FO-01	4	5	0	0	9	0	2	7	0	0	0	0	0	0
TCGA-AC-A2QH-01	3	2	0	6	0	0	0	8	8	0	0	0	0	0
TCGA-AC-A3HN-01	2	2	0	5	0	4	0	0	6	0	3	0	0	0
TCGA-AC-A3OD-01	5	0	0	6	3	0	6	0	9	0	0	10	0	0
TCGA-AC-A3QP-01	0	0	2	0	0	5	6	3	0	0	0	8	0	11
TCGA-AC-A3QQ-01	0	2	0	10	4	0	0	0	6	0	0	6	0	8
TCGA-AC-A3W5-01	18	38	0	13	8	0	9	0	25	57	17	26	0	0
TCGA-AC-A3YI-01	0	0	0	3	2	3	3	0	0	0	0	7	0	0
TCGA-AC-A3YJ-01	3	0	0	13	3	0	0	0	0	0	6	13	0	0
TCGA-AC-A4ZE-01	7	0	0	7	0	0	5	13	22	13	7	0	0	0
TCGA-AC-A5EH-01	9	8	10	12	11	13	6	3	11	35	3	24	32	28
TCGA-AC-A5EI-01	7	0	0	6	5	0	5	11	0	0	0	9	0	0
TCGA-AC-A5XS-01	159	133	163	0	119	0	60	0	0	0	81	0	0	0
TCGA-AC-A5XU-01	6	3	6	37	17	3	1	6	9	1	6	4	7	7
TCGA-AC-A62V-01	0	5	0	39	0	0	0	0	23	26	13	0	0	0
TCGA-AC-A62X-01	0	3	0	42	5	9	0	0	0	0	5	0	23	0
TCGA-AC-A62Y-01	11	19	0	12	11	14	0	22	0	0	0	0	0	0
TCGA-AC-A6IV-01	0	0	0	2	1	0	6	4	4	0	0	0	0	10
TCGA-AC-A6IW-01	24	37	43	33	18	0	0	0	0	0	26	50	0	0
TCGA-AC-A6IX-01	18	0	10	8	9	0	0	7	12	0	7	0	0	0
TCGA-AC-A6NO-01	1	0	0	0	0	0	3	18	14	0	7	0	0	0
TCGA-AC-A7VB-01	0	0	0	10	2	0	0	9	14	0	0	0	0	0
TCGA-AC-A7VC-01	0	0	0	4	0	0	6	8	6	0	2	0	0	0
TCGA-AC-A8OP-01	7	11	8	33	9	25	20	15	26	38	14	0	38	0
TCGA-AC-A8OQ-01	15	5	0	12	0	0	18	44	29	0	14	0	0	0
TCGA-AC-A8OR-01	1	0	0	8	0	0	0	0	7	0	0	0	7	9
TCGA-AC-A8OS-01	11	4	0	7	6	12	0	15	0	0	6	18	0	0
TCGA-AN-A0XL-01	0	0	0	7	3	6	3	6	0	0	5	0	10	0
TCGA-AN-A0XN-01	2	9	8	6	4	13	6	8	14	20	9	12	22	42
TCGA-AN-A0XO-01	6	0	0	0	3	10	10	8	0	0	6	0	0	0
TCGA-AN-A0XP-01	4	4	0	7	0	10	0	0	0	0	3	0	6	0
TCGA-AN-A0XR-01	4	2	0	4	0	0	0	6	7	0	0	15	0	0
TCGA-AN-A0XS-01	5	0	0	0	0	0	6	0	12	0	0	0	0	9
TCGA-AN-A0XT-01	0	0	2	5	2	0	0	8	0	0	0	5	0	0
TCGA-AN-A0XU-01	5	14	0	0	0	0	6	24	11	20	0	24	33	0
TCGA-AN-A0XV-01	0	0	10	9	0	8	5	0	0	8	4	0	0	0
TCGA-AN-A0XW-01	118	116	127	0	43	0	0	0	0	0	19	0	0	0
TCGA-AO-A03M-01	283	326	315	0	168	0	58	0	0	0	0	0	0	0
TCGA-AO-A03N-01	24	26	18	12	32	0	9	0	13	0	0	0	0	0
TCGA-AO-A03U-01	0	1	0	0	1	0	0	0	0	0	0	0	0	3
TCGA-AO-A03V-01	5	0	19	0	6	0	6	14	8	0	14	0	0	0
TCGA-AO-A0JG-01	1	0	0	0	0	4	0	0	0	0	5	0	11	0
TCGA-AO-A124-01	1	8	1	10	9	12	8	11	8	49	7	23	26	5
TCGA-AO-A125-01	3	2	0	14	0	0	7	0	0	0	0	19	0	0
TCGA-AO-A126-01	4	0	0	0	0	0	5	16	0	0	0	0	0	0
TCGA-AO-A128-01	0	0	0	304	0	455	44	128	279	0	0	0	0	0
TCGA-AO-A129-01	10	14	10	4	5	16	1	20	6	23	8	17	8	2
TCGA-AO-A12A-01	4	0	0	9	0	0	0	0	0	0	0	0	0	6
TCGA-AO-A12B-01	1	0	0	8	0	0	0	6	0	8	0	0	0	0
TCGA-AO-A12D-01	14	5	5	5	7	0	13	8	0	0	16	0	0	0
TCGA-AO-A12E-01	1	0	0	14	0	0	2	0	0	0	7	0	0	9
TCGA-AO-A12F-01	0	0	0	16	0	0	3	0	10	0	0	0	11	0
TCGA-AO-A12G-01	3	4	0	4	5	0	0	20	6	0	0	0	0	0
TCGA-AO-A12H-01	0	0	0	0	1	0	3	15	7	0	4	0	0	0
TCGA-AO-A1KO-01	0	0	0	0	0	3	2	0	0	5	0	0	0	0
TCGA-AO-A1KR-01	5	4	5	7	0	9	5	7	0	26	0	21	0	0
TCGA-AO-A1KT-01	3	0	0	11	0	16	5	5	0	11	0	0	0	0
TCGA-AQ-A04H-01	3	5	0	27	0	0	8	24	14	0	0	0	0	0
TCGA-AQ-A0Y5-01	8	9	0	18	0	0	9	8	0	12	6	0	0	0
TCGA-AQ-A1H2-01	2	0	0	7	2	0	6	10	7	0	0	0	0	0
TCGA-AQ-A1H3-01	0	0	0	17	0	0	0	10	0	0	0	0	0	0
TCGA-AQ-A54O-01	4	0	0	7	0	0	0	0	0	0	0	0	5	9
TCGA-AQ-A7U7-01	24	20	8	0	7	0	13	10	14	0	0	0	0	0
TCGA-AR-A0TP-01	4	4	0	0	0	11	0	10	0	22	5	15	0	0
TCGA-AR-A0TQ-01	9	0	0	9	7	0	0	0	7	0	7	0	10	0
TCGA-AR-A0TR-01	0	0	0	14	0	12	6	0	0	0	10	0	0	0
TCGA-AR-A0TS-01	5	8	0	17	0	0	0	0	0	15	11	19	0	15
TCGA-AR-A0TT-01	7	6	0	16	5	11	6	0	0	0	0	24	0	0
TCGA-AR-A0TU-01	4	7	0	4	0	0	0	17	8	22	7	0	21	0
TCGA-AR-A0TV-01	3	0	5	11	5	0	0	21	10	0	5	19	0	0
TCGA-AR-A0TW-01	0	0	4	10	0	0	7	17	8	0	0	0	21	0
TCGA-AR-A0TX-01	110	99	85	0	43	0	41	0	0	0	29	0	0	0
TCGA-AR-A0TZ-01	8	12	0	6	3	0	13	7	6	0	0	0	12	0
TCGA-AR-A0U0-01	0	3	8	6	5	0	3	0	5	0	0	11	9	0
TCGA-AR-A0U1-01	0	12	0	5	8	15	0	0	0	25	0	0	19	25
TCGA-AR-A0U2-01	0	0	0	17	3	0	0	0	20	0	0	0	0	16
TCGA-AR-A0U3-01	0	0	0	9	0	0	4	0	11	0	10	0	6	0
TCGA-AR-A0U4-01	12	36	10	14	12	0	0	0	0	54	16	0	47	0
TCGA-AR-A1AH-01	4	7	0	5	0	16	0	9	23	16	0	0	40	0
