MutationType	ID1	ID2	ID7	ID13	ID83A	ID83B	ID83C	ID83D	ID83F	ID83G	ID83I	ID83J	ID83K	ID83L	ID83M	ID83O
2:Ins:R:2	0.00022135	0.00103534	0.00007010	0.00068852	0.00000000	0.00000399	0.00723967	0.00001728	0.00381658	0.00001048	0.00607041	0.00261529	0.00505878	0.01428081	0.02327731	0.02023835
2:Ins:R:3	0.00051427	0.00038133	0.00314704	0.00074354	0.00000029	0.00001269	0.00000588	0.00000689	0.00001326	0.00000673	0.00249928	0.00002139	0.00002558	0.00046311	0.00072316	0.00003082
2:Ins:R:4	0.00291310	0.00197742	0.00182828	0.00021335	0.00000008	0.00031236	0.00138521	0.00000741	0.00001229	0.00000503	0.00432346	0.00001802	0.00049449	0.00369945	0.00130365	0.00089022
2:Ins:R:5	0.01812158	0.01363338	0.00024477	0.00084658	0.00000001	0.00308820	0.00000426	0.00485187	0.00001303	0.00112585	0.00128484	0.00020275	0.00032892	0.00073165	0.00380521	0.00069784
3:Ins:R:0	0.00000031	0.00005780	0.00000000	0.00008210	0.00000080	0.00000377	0.00481577	0.00000490	0.00000947	0.00512031	0.00380264	0.00305923	0.00078430	0.00447102	0.00147610	0.00478945
3:Ins:R:1	0.00025469	0.00122705	0.00000551	0.00368833	0.00000000	0.00000413	0.00000367	0.00713972	0.00001610	0.00000406	0.00473209	0.00116486	0.00344116	0.01097482	0.00362115	0.00566736
3:Ins:R:2	0.00004410	0.00021007	0.00005470	0.00020251	0.00088759	0.00217526	0.00000344	0.00898400	0.00042494	0.00000359	0.00555984	0.00139986	0.00091448	0.00275068	0.00715555	0.00132410
3:Ins:R:3	0.00016670	0.00000302	0.00017783	0.00002370	0.00000038	0.00000653	0.00000628	0.00000816	0.00001449	0.00000716	0.00001135	0.00002274	0.00002673	0.00002416	0.00002712	0.00003320
3:Ins:R:4	0.00008890	0.00014181	0.00041561	0.00000349	0.00000015	0.00100993	0.00000415	0.00000599	0.00001252	0.00000514	0.00034133	0.00013434	0.00002376	0.00043114	0.00223022	0.00228914
3:Ins:R:5	0.00124870	0.00186471	0.00076928	0.00003540	0.00000002	0.00289701	0.00038741	0.00394968	0.00014915	0.00000728	0.00001064	0.00022312	0.00085316	0.00147463	0.00454090	0.00170879
4:Ins:R:0	0.00000000	0.00001680	0.00000000	0.00111880	0.00000000	0.00000577	0.00000621	0.00001258	0.00192500	0.00000414	0.00407866	0.00067895	0.00174335	0.00233279	0.00166973	0.00425665
4:Ins:R:1	0.00074438	0.00120373	0.00002610	0.00269163	0.00000000	0.00375810	0.00069539	0.00699741	0.00002468	0.00000335	0.00287909	0.00090215	0.00467545	0.00406740	0.01128168	0.01723143
4:Ins:R:2	0.00007550	0.00001220	0.00019482	0.00006930	0.00000024	0.00000663	0.00000441	0.00079651	0.00011473	0.00076284	0.00069732	0.00045211	0.00074082	0.00065108	0.00176035	0.00106768
4:Ins:R:3	0.00015754	0.00013417	0.00027374	0.00000064	0.00000038	0.00000653	0.00000628	0.00000816	0.00001449	0.00000716	0.00001135	0.00002274	0.00002673	0.00002416	0.00002712	0.00003320
4:Ins:R:4	0.00031965	0.00024939	0.00025876	0.00001210	0.00000038	0.00000653	0.00000628	0.00000816	0.00001449	0.00000716	0.00001135	0.00002274	0.00002673	0.00002416	0.00002712	0.00003320
4:Ins:R:5	0.00100132	0.00219354	0.00000874	0.00000031	0.00000007	0.00000568	0.00000499	0.00165018	0.00042572	0.00045642	0.00103750	0.00015426	0.00013874	0.00049346	0.00114018	0.00010353
5:Ins:R:0	0.00000000	0.00000000	0.00000000	0.00259023	0.00000000	0.00641528	0.00228313	0.01202567	0.00360681	0.00000354	0.00762785	0.00484295	0.00570957	0.00394541	0.01002984	0.00536782
5:Ins:R:1	0.00144313	0.00013566	0.00000000	0.01350195	0.00000000	0.00107468	0.00000123	0.00001922	0.00000771	0.00619216	0.01644935	0.00855902	0.00968490	0.00421592	0.03953258	0.03939333
5:Ins:R:2	0.00025483	0.00000553	0.00000884	0.00004590	0.00000038	0.00000653	0.00000628	0.00000816	0.00001449	0.00000716	0.00001135	0.00002274	0.00002673	0.00002416	0.00002712	0.00003320
5:Ins:R:3	0.00023709	0.00009770	0.00000446	0.00004610	0.00000038	0.00000653	0.00000628	0.00000816	0.00001449	0.00000716	0.00001135	0.00002274	0.00002673	0.00002416	0.00002712	0.00003320
5:Ins:R:4	0.00026187	0.00000215	0.00001060	0.00000243	0.00000018	0.00000574	0.00000542	0.00000680	0.00027474	0.00000593	0.00001002	0.00002062	0.00047589	0.00002154	0.00076110	0.00137423
5:Ins:R:5	0.00011983	0.00011563	0.00000428	0.00004330	0.00000026	0.00036876	0.00000476	0.00088002	0.00041818	0.00000612	0.00173686	0.00006496	0.00025208	0.00087249	0.00085107	0.00010324
2:Del:M:1	0.00119782	0.00017555	0.00312706	0.00887241	0.00000000	0.00000575	0.00000036	0.00000515	0.00000579	0.00000459	0.02207259	0.00329879	0.10495546	0.01826725	0.03846380	0.01368418
3:Del:M:1	0.00008190	0.00000055	0.00025476	0.00114008	0.00239297	0.00000207	0.00000058	0.00000187	0.00000273	0.00000127	0.00000934	0.00550639	0.04460155	0.00030787	0.23528509	0.00660268
3:Del:M:2	0.00147959	0.00294406	0.00463564	0.00045031	0.00001236	0.00917206	0.00000354	0.00000432	0.00000611	0.00000369	0.01364352	0.00001151	0.01832648	0.00854078	0.06955056	0.01916740
4:Del:M:1	0.00008380	0.00014700	0.00018383	0.00127080	0.00000705	0.02262180	0.00000924	0.03846440	0.00687014	0.02421516	0.02658397	0.00235979	0.02278832	0.00636163	0.01718556	0.02608804
4:Del:M:2	0.00014548	0.00055061	0.00101904	0.00015972	0.00000000	0.00000250	0.00000313	0.00000971	0.00000921	0.00454092	0.00434075	0.00208188	0.00861961	0.00576105	0.01480457	0.01498646
4:Del:M:3	0.00016068	0.00069357	0.00071732	0.00027058	0.00000000	0.00000357	0.00000407	0.00000571	0.00001055	0.00112456	0.00187977	0.00063146	0.00151640	0.00683340	0.00192174	0.00165667
5:Del:M:1	0.00000082	0.00062496	0.00002360	0.01174078	0.00000002	0.00000377	0.00000146	0.00000163	0.00000339	0.00000070	0.00000247	0.06901069	0.00722993	0.44598201	0.00000453	0.00001237
5:Del:M:2	0.00000000	0.00011771	0.00024577	0.00705542	0.00000001	0.00000712	0.00401751	0.00000266	0.00632230	0.00000243	0.00000466	0.02626471	0.00001264	0.05855847	0.03326531	0.09752665
5:Del:M:3	0.00000000	0.00005670	0.00006160	0.00216598	0.00000000	0.00000309	0.00000203	0.01549423	0.00000806	0.01099407	0.01333778	0.00615382	0.00166662	0.01120063	0.01316140	0.01851115
5:Del:M:4	0.00003880	0.00046284	0.00006820	0.00028174	0.00000000	0.00211725	0.00000452	0.00514317	0.00001089	0.00157238	0.00246927	0.00311461	0.00202275	0.00186690	0.00584004	0.01061152
5:Del:M:5	0.00066512	0.00236732	0.00173836	0.01313191	0.00000008	0.00120316	0.00000391	0.00000590	0.00001031	0.00112994	0.00000931	0.00062074	0.00108566	0.00104394	0.00291158	0.00480303
