Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-AR-A24H-01	23	6	15	79	22	7
TCGA-AR-A24K-01	0	0	12	22	0	0
TCGA-AR-A24L-01	7	0	6	40	0	0
TCGA-AR-A24M-01	1	1	5	5	2	11
TCGA-AR-A24N-01	1	7	19	11	1	8
TCGA-AR-A24O-01	0	0	8	0	14	0
TCGA-AR-A24P-01	0	0	10	0	9	0
TCGA-AR-A24Q-01	23	24	4	126	27	28
TCGA-AR-A24R-01	0	0	16	0	0	10
TCGA-AR-A24S-01	5	8	18	6	9	11
TCGA-AR-A24T-01	0	2	12	0	10	0
TCGA-AR-A24U-01	13	15	16	0	0	0
TCGA-AR-A24V-01	5	4	19	0	0	0
TCGA-AR-A24W-01	0	2	0	0	12	0
TCGA-AR-A24X-01	0	0	11	0	23	0
TCGA-AR-A24Z-01	3	4	15	11	21	2
TCGA-AR-A250-01	53	19	45	0	38	0
TCGA-AR-A251-01	34	4	11	122	16	18
TCGA-AR-A252-01	0	0	12	0	0	7
TCGA-AR-A254-01	0	6	17	0	19	0
TCGA-AR-A255-01	21	15	11	1	34	7
TCGA-AR-A256-01	17	22	12	131	22	20
TCGA-AR-A2LE-01	148	246	0	0	0	0
TCGA-AR-A2LH-01	21	39	11	0	0	0
TCGA-AR-A2LK-01	0	7	24	9	0	8
TCGA-AR-A2LL-01	0	0	17	0	20	0
TCGA-AR-A2LM-01	0	2	0	0	15	0
TCGA-AR-A2LN-01	5	24	10	5	6	4
TCGA-AR-A2LO-01	2	2	6	7	0	0
TCGA-AR-A2LQ-01	0	0	6	0	7	0
TCGA-AR-A2LR-01	1	2	17	13	33	4
TCGA-AR-A5QM-01	0	0	15	0	21	0
TCGA-AR-A5QN-01	0	9	29	0	0	11
TCGA-AR-A5QP-01	0	5	11	0	12	6
TCGA-AR-A5QQ-01	9	6	11	47	0	23
TCGA-B6-A0I1-01	0	7	25	0	48	0
TCGA-B6-A0IH-01	0	4	25	0	0	12
TCGA-B6-A0RH-01	7	12	10	3	11	2
TCGA-B6-A0RL-01	6	17	31	15	0	0
TCGA-B6-A0RM-01	0	9	18	0	0	9
TCGA-B6-A0RN-01	0	3	20	0	0	10
TCGA-B6-A0RO-01	1	5	5	7	17	8
TCGA-B6-A0RP-01	0	0	8	0	22	0
TCGA-B6-A0RQ-01	4	19	10	6	10	7
TCGA-B6-A0RT-01	21	0	11	40	0	0
TCGA-B6-A0RU-01	1	9	13	13	10	12
TCGA-B6-A0RV-01	27	32	8	0	0	0
TCGA-B6-A0WS-01	2	3	0	0	0	13
TCGA-B6-A0WT-01	0	3	11	0	0	8
TCGA-B6-A0WV-01	4	1	5	7	14	6
TCGA-B6-A0WW-01	4	10	12	7	9	5
TCGA-B6-A0WX-01	0	0	14	0	24	7
TCGA-B6-A0WY-01	4	8	11	0	0	12
TCGA-B6-A0WZ-01	29	66	0	0	0	0
TCGA-B6-A0X0-01	0	2	4	0	19	0
TCGA-B6-A0X1-01	15	8	6	34	14	15
TCGA-B6-A0X4-01	0	3	8	0	11	0
TCGA-B6-A0X5-01	0	8	0	0	31	9
TCGA-B6-A0X7-01	0	6	10	0	7	0
TCGA-B6-A1KN-01	3	3	11	12	32	11
TCGA-B6-A2IU-01	1	21	20	3	1	8
TCGA-B6-A401-01	0	0	14	0	14	0
TCGA-B6-A409-01	4	4	19	8	17	4
TCGA-B6-A40B-01	5	15	11	17	11	7
TCGA-B6-A40C-01	2	4	26	3	17	2
TCGA-BH-A0AU-01	3	1	7	3	6	3
TCGA-BH-A0AV-01	12	5	4	44	8	14
TCGA-BH-A0AY-01	0	8	13	0	25	0
TCGA-BH-A0AZ-01	11	13	0	24	22	0
TCGA-BH-A0B0-01	26	64	9	0	0	0
TCGA-BH-A0B3-01	1	2	7	8	0	0
TCGA-BH-A0B6-01	615	675	0	0	0	0
TCGA-BH-A0B7-01	8	5	18	11	0	0
TCGA-BH-A0B8-01	0	8	0	0	26	0
TCGA-BH-A0BA-01	4	6	6	6	1	6
TCGA-BH-A0BC-01	4	10	15	0	16	0
TCGA-BH-A0BF-01	8	0	12	0	13	0
TCGA-BH-A0BG-01	5	5	9	26	0	0
TCGA-BH-A0BJ-01	0	0	2	0	15	0
TCGA-BH-A0BL-01	0	0	17	33	19	0
TCGA-BH-A0BM-01	0	4	0	0	15	0
TCGA-BH-A0BO-01	6	0	9	0	0	16
TCGA-BH-A0BP-01	34	25	44	39	54	0
TCGA-BH-A0BQ-01	0	4	13	0	13	0
TCGA-BH-A0BS-01	0	0	8	15	0	0
TCGA-BH-A0BT-01	0	8	18	14	0	8
TCGA-BH-A0BV-01	0	5	6	0	13	0
TCGA-BH-A0BW-01	8	10	12	32	18	23
TCGA-BH-A0BZ-01	34	11	19	154	44	34
TCGA-BH-A0C0-01	1	5	5	20	3	14
TCGA-BH-A0C1-01	0	11	24	0	0	15
TCGA-BH-A0C3-01	0	0	4	0	9	5
TCGA-BH-A0C7-01	3	0	21	0	34	0
TCGA-BH-A0DD-01	3	6	21	0	0	7
TCGA-BH-A0DE-01	0	4	5	10	14	0
TCGA-BH-A0DG-01	8	8	0	0	31	0
TCGA-BH-A0DH-01	4	14	22	3	2	7
TCGA-BH-A0DI-01	14	12	17	19	0	0
TCGA-BH-A0DK-01	4	4	9	12	19	5
TCGA-BH-A0DL-01	8	16	25	0	0	16
