Samples	SBS96A	SBS96B
TCGA-OL-A5RV-01	17	0
TCGA-OL-A5RW-01	83	170
TCGA-OL-A5RX-01	32	3
TCGA-OL-A5RY-01	11	2
TCGA-OL-A5RZ-01	128	24
TCGA-OL-A5S0-01	38	6
TCGA-OL-A66H-01	26	1
TCGA-OL-A66I-01	47	9
TCGA-OL-A66J-01	57	11
TCGA-OL-A66K-01	43	4
TCGA-OL-A66L-01	27	67
TCGA-OL-A66N-01	55	3
TCGA-OL-A66O-01	36	2
TCGA-OL-A66P-01	112	11
TCGA-OL-A6VO-01	35	3
TCGA-OL-A6VQ-01	33	49
TCGA-OL-A6VR-01	16	1
TCGA-OL-A97C-01	67	3
TCGA-PE-A5DC-01	121	33
TCGA-PE-A5DD-01	42	43
TCGA-PE-A5DE-01	70	619
TCGA-PL-A8LV-01	90	65
TCGA-PL-A8LX-01	48	1
TCGA-PL-A8LY-01	7	0
TCGA-PL-A8LZ-01	105	31
TCGA-S3-A6ZF-01	47	5
TCGA-S3-A6ZG-01	53	7
TCGA-S3-A6ZH-01	40	5
TCGA-S3-AA0Z-01	57	20
TCGA-S3-AA10-01	108	42
TCGA-S3-AA11-01	83	13
TCGA-S3-AA12-01	51	9
TCGA-S3-AA14-01	20	4
TCGA-S3-AA15-01	20	40
TCGA-S3-AA17-01	111	30
TCGA-UL-AAZ6-01	108	32
TCGA-UU-A93S-01	162	34
TCGA-V7-A7HQ-01	25	6
TCGA-W8-A86G-01	32	3
TCGA-WT-AB41-01	37	25
TCGA-WT-AB44-01	59	1
TCGA-XX-A899-01	26	34
TCGA-XX-A89A-01	53	212
TCGA-Z7-A8R5-01	34	0
TCGA-Z7-A8R6-01	47	60
