Samples	SBS96A	SBS96B
TCGA-BH-A0AU-01	20	3
TCGA-BH-A0AV-01	61	26
TCGA-BH-A0AY-01	37	9
TCGA-BH-A0AZ-01	36	34
TCGA-BH-A0B0-01	20	79
TCGA-BH-A0B3-01	15	3
TCGA-BH-A0B6-01	47	1243
TCGA-BH-A0B7-01	31	11
TCGA-BH-A0B8-01	25	9
TCGA-BH-A0BA-01	20	9
TCGA-BH-A0BC-01	33	12
TCGA-BH-A0BF-01	26	7
TCGA-BH-A0BG-01	33	12
TCGA-BH-A0BJ-01	16	1
TCGA-BH-A0BL-01	64	5
TCGA-BH-A0BM-01	14	5
TCGA-BH-A0BO-01	26	5
TCGA-BH-A0BP-01	132	64
TCGA-BH-A0BQ-01	27	3
TCGA-BH-A0BS-01	21	2
TCGA-BH-A0BT-01	41	7
TCGA-BH-A0BV-01	18	6
TCGA-BH-A0BW-01	80	23
TCGA-BH-A0BZ-01	223	73
TCGA-BH-A0C0-01	39	9
TCGA-BH-A0C1-01	43	7
TCGA-BH-A0C3-01	18	0
TCGA-BH-A0C7-01	54	4
TCGA-BH-A0DD-01	31	6
TCGA-BH-A0DE-01	28	5
TCGA-BH-A0DG-01	27	20
TCGA-BH-A0DH-01	39	13
TCGA-BH-A0DI-01	37	25
TCGA-BH-A0DK-01	43	10
TCGA-BH-A0DL-01	47	18
TCGA-BH-A0DO-01	22	8
TCGA-BH-A0DP-01	12	7
TCGA-BH-A0DQ-01	33	2
TCGA-BH-A0DT-01	12	3
TCGA-BH-A0DV-01	8	7
TCGA-BH-A0DX-01	30	47
TCGA-BH-A0DZ-01	4	213
TCGA-BH-A0E0-01	22	2
TCGA-BH-A0E1-01	14	5
TCGA-BH-A0E9-01	27	1
TCGA-BH-A0EA-01	27	5
TCGA-BH-A0EI-01	23	1
TCGA-BH-A0H3-01	15	2
TCGA-BH-A0H5-01	14	155
TCGA-BH-A0H7-01	13	4
TCGA-BH-A0H9-01	17	6
TCGA-BH-A0HA-01	352	30
