Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-AR-A256-01	17	31	140	15	21
TCGA-AR-A2LE-01	144	250	0	0	0
TCGA-AR-A2LH-01	21	42	0	8	0
TCGA-AR-A2LK-01	0	10	0	28	10
TCGA-AR-A2LL-01	0	0	12	25	0
TCGA-AR-A2LM-01	0	3	10	4	0
TCGA-AR-A2LN-01	6	35	0	13	0
TCGA-AR-A2LO-01	2	2	7	6	0
TCGA-AR-A2LQ-01	0	0	6	7	0
TCGA-AR-A2LR-01	1	4	36	23	6
TCGA-AR-A5QM-01	0	0	16	20	0
TCGA-AR-A5QN-01	0	11	0	27	11
TCGA-AR-A5QP-01	0	9	0	15	10
TCGA-AR-A5QQ-01	9	6	46	11	24
TCGA-B6-A0I1-01	0	11	33	36	0
TCGA-B6-A0IH-01	0	5	0	23	13
TCGA-B6-A0RH-01	9	15	6	12	3
TCGA-B6-A0RL-01	7	20	6	28	8
TCGA-B6-A0RM-01	1	10	2	15	8
TCGA-B6-A0RN-01	0	3	0	19	11
TCGA-B6-A0RO-01	1	9	17	7	9
TCGA-B6-A0RP-01	0	0	17	13	0
TCGA-B6-A0RQ-01	5	26	6	11	8
TCGA-B6-A0RT-01	21	0	40	11	0
TCGA-B6-A0RU-01	1	13	17	14	13
TCGA-B6-A0RV-01	29	32	0	6	0
TCGA-B6-A0WS-01	2	4	0	0	12
TCGA-B6-A0WT-01	0	4	0	11	7
TCGA-B6-A0WV-01	5	1	14	8	9
TCGA-B6-A0WW-01	5	13	11	14	4
TCGA-B6-A0WX-01	0	0	19	17	9
TCGA-B6-A0WY-01	4	8	3	9	11
TCGA-B6-A0WZ-01	28	67	0	0	0
TCGA-B6-A0X0-01	0	5	11	9	0
TCGA-B6-A0X1-01	16	9	43	8	16
TCGA-B6-A0X4-01	0	6	0	16	0
TCGA-B6-A0X5-01	2	14	15	7	10
TCGA-B6-A0X7-01	0	9	0	14	0
TCGA-B6-A1KN-01	3	6	34	15	14
