Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
TCGA-AO-A12E-01	0	2	13	0	0	0	9	0	9	0
TCGA-AO-A12F-01	0	0	23	0	0	0	0	0	0	17
TCGA-AO-A12G-01	4	3	6	7	0	0	0	22	0	0
TCGA-AO-A12H-01	0	0	4	0	0	0	0	20	6	0
TCGA-AO-A1KO-01	0	0	0	0	0	6	0	0	4	0
TCGA-AO-A1KR-01	8	7	9	0	0	10	42	13	0	0
TCGA-AO-A1KT-01	0	4	13	0	0	16	13	0	5	0
TCGA-AQ-A04H-01	6	0	37	0	0	0	0	28	10	0
TCGA-AQ-A0Y5-01	11	10	22	0	0	0	13	0	14	0
TCGA-AQ-A1H2-01	0	2	10	0	0	5	0	13	4	0
TCGA-AQ-A1H3-01	0	0	17	0	0	0	0	10	0	0
TCGA-AQ-A54O-01	0	5	10	0	0	0	0	0	0	10
TCGA-AQ-A7U7-01	31	36	12	0	0	0	0	0	17	0
TCGA-AR-A0TP-01	5	5	0	0	0	13	33	15	0	0
TCGA-AR-A0TQ-01	0	11	10	10	0	0	0	0	0	18
TCGA-AR-A0TR-01	0	0	10	0	11	9	0	0	12	0
TCGA-AR-A0TS-01	9	7	20	0	0	0	22	0	0	32
TCGA-AR-A0TT-01	6	10	21	0	0	11	19	0	8	0
TCGA-AR-A0TU-01	9	4	9	0	0	0	34	18	0	16
TCGA-AR-A0TV-01	0	3	11	11	22	0	0	32	0	0
TCGA-AR-A0TW-01	1	1	13	3	9	2	4	19	5	10
TCGA-AR-A0TX-01	174	161	0	0	0	0	0	0	72	0
TCGA-AR-A0TZ-01	14	11	13	0	0	0	0	0	15	14
TCGA-AR-A0U0-01	4	0	5	14	27	0	0	0	0	0
TCGA-AR-A0U1-01	13	0	4	17	0	21	27	0	0	27
TCGA-AR-A0U2-01	0	0	25	7	16	8	0	0	0	0
TCGA-AR-A0U3-01	0	0	14	0	11	0	0	0	15	0
TCGA-AR-A0U4-01	43	12	13	27	0	0	54	0	0	52
TCGA-AR-A1AH-01	8	4	15	0	0	23	18	0	0	52
TCGA-AR-A1AI-01	9	0	11	10	39	0	0	0	20	0
TCGA-AR-A1AJ-01	8	17	10	0	0	0	0	18	0	0
TCGA-AR-A1AK-01	19	14	11	14	0	0	0	12	12	0
TCGA-AR-A1AL-01	3	3	7	7	0	10	0	0	0	0
TCGA-AR-A1AN-01	3	0	9	6	0	0	0	13	0	0
TCGA-AR-A1AO-01	15	10	14	21	0	0	51	0	11	0
TCGA-AR-A1AP-01	3	4	15	0	16	0	0	0	13	0
TCGA-AR-A1AQ-01	0	2	10	0	9	5	15	0	0	0
