Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-B6-A0WY-01	6	3	10	0	8	8	0
TCGA-B6-A0WZ-01	67	28	0	0	0	0	0
TCGA-B6-A0X0-01	3	0	3	0	0	0	19
TCGA-B6-A0X1-01	5	13	4	28	25	14	3
TCGA-B6-A0X4-01	0	0	4	18	0	0	0
TCGA-B6-A0X5-01	4	0	0	34	0	10	0
TCGA-B6-A0X7-01	5	0	8	0	0	0	10
TCGA-B6-A1KN-01	1	3	9	19	9	11	20
TCGA-B6-A2IU-01	16	0	17	21	0	0	0
TCGA-B6-A401-01	0	2	13	0	0	0	13
TCGA-B6-A409-01	3	3	15	13	4	3	15
TCGA-B6-A40B-01	13	4	11	14	13	6	5
TCGA-B6-A40C-01	4	0	21	0	0	0	29
TCGA-BH-A0AU-01	0	3	7	0	0	0	13
TCGA-BH-A0AV-01	4	11	2	8	38	13	11
TCGA-BH-A0AY-01	6	0	10	15	0	0	15
TCGA-BH-A0AZ-01	13	9	0	16	32	0	0
TCGA-BH-A0B0-01	62	25	12	0	0	0	0
TCGA-BH-A0B3-01	2	1	7	0	8	0	0
TCGA-BH-A0B6-01	582	510	0	198	0	0	0
TCGA-BH-A0B7-01	3	6	15	18	0	0	0
TCGA-BH-A0B8-01	7	0	0	0	0	0	27
TCGA-BH-A0BA-01	6	4	6	0	0	5	8
TCGA-BH-A0BC-01	10	4	12	0	0	0	19
TCGA-BH-A0BF-01	0	9	10	0	0	0	14
TCGA-BH-A0BG-01	6	4	9	0	26	0	0
TCGA-BH-A0BJ-01	0	0	0	0	0	0	17
TCGA-BH-A0BL-01	0	3	14	0	32	0	20
TCGA-BH-A0BM-01	4	0	4	0	11	0	0
TCGA-BH-A0BO-01	0	4	6	10	0	11	0
TCGA-BH-A0BP-01	20	30	36	61	30	1	18
TCGA-BH-A0BQ-01	4	0	12	0	0	0	14
TCGA-BH-A0BS-01	2	0	4	0	8	0	9
TCGA-BH-A0BT-01	6	0	17	17	0	8	0
TCGA-BH-A0BV-01	3	0	3	10	0	0	8
TCGA-BH-A0BW-01	10	7	9	2	26	20	29
TCGA-BH-A0BZ-01	13	33	20	11	156	30	33
TCGA-BH-A0C0-01	4	0	5	10	16	13	0
TCGA-BH-A0C1-01	9	0	22	0	11	8	0
TCGA-BH-A0C3-01	0	0	0	0	0	5	13
TCGA-BH-A0C7-01	0	4	14	0	0	0	40
TCGA-BH-A0DD-01	6	3	21	0	0	7	0
TCGA-BH-A0DE-01	3	0	0	8	0	0	22
TCGA-BH-A0DG-01	6	8	0	14	0	6	13
TCGA-BH-A0DH-01	15	0	24	13	0	0	0
TCGA-BH-A0DI-01	11	12	14	6	14	3	2
TCGA-BH-A0DK-01	3	3	8	16	9	6	8
TCGA-BH-A0DL-01	17	7	28	0	0	13	0
TCGA-BH-A0DO-01	5	4	10	0	11	0	0
TCGA-BH-A0DP-01	5	0	3	0	11	0	0
TCGA-BH-A0DQ-01	0	0	17	0	0	0	18
TCGA-BH-A0DT-01	4	0	5	0	0	0	6
TCGA-BH-A0DV-01	4	0	0	0	6	0	5
TCGA-BH-A0DX-01	30	15	8	0	0	0	24
TCGA-BH-A0DZ-01	84	104	0	29	0	0	0
TCGA-BH-A0E0-01	0	0	14	10	0	0	0
TCGA-BH-A0E1-01	2	4	6	0	0	0	7
TCGA-BH-A0E9-01	2	0	16	0	10	0	0
TCGA-BH-A0EA-01	4	0	8	0	0	0	20
TCGA-BH-A0EI-01	2	0	11	0	6	5	0
TCGA-BH-A0H3-01	1	0	0	0	0	0	16
TCGA-BH-A0H5-01	66	56	0	47	0	0	0
TCGA-BH-A0H7-01	1	3	3	0	0	4	6
TCGA-BH-A0H9-01	4	0	0	0	7	4	8
TCGA-BH-A0HA-01	26	18	149	0	0	189	0
TCGA-BH-A0HI-01	8	0	10	0	0	0	17
TCGA-BH-A0HK-01	33	11	19	0	0	0	0
TCGA-BH-A0HN-01	5	0	16	13	0	0	0
TCGA-BH-A0HP-01	181	176	0	0	0	0	0
TCGA-BH-A0RX-01	5	1	34	2	3	2	2
TCGA-BH-A0W3-01	3	2	6	0	12	0	0
TCGA-BH-A0W4-01	7	0	8	24	0	0	0
TCGA-BH-A0W5-01	0	0	14	9	0	6	0
TCGA-BH-A0W7-01	129	132	0	0	0	0	0
TCGA-BH-A0WA-01	15	7	7	4	52	12	16
TCGA-BH-A18F-01	20	0	13	13	0	0	21
TCGA-BH-A18G-01	0	0	629	0	0	1039	0
TCGA-BH-A18H-01	8	4	0	12	0	11	19
TCGA-BH-A18I-01	6	2	23	0	0	0	0
TCGA-BH-A18J-01	59	36	0	0	0	16	0
TCGA-BH-A18K-01	14	12	0	33	0	9	0
TCGA-BH-A18L-01	0	0	29	26	0	10	0
TCGA-BH-A18M-01	2	3	8	5	0	0	0
TCGA-BH-A18N-01	0	0	16	0	0	13	14
TCGA-BH-A18P-01	206	167	0	65	0	0	0
TCGA-BH-A18Q-01	0	9	0	0	47	0	51
TCGA-BH-A18R-01	6	0	0	0	18	0	18
TCGA-BH-A18S-01	0	3	0	19	0	15	0
TCGA-BH-A18T-01	6	11	9	8	52	10	6
TCGA-BH-A18U-01	62	35	38	0	43	0	0
TCGA-BH-A18V-01	25	70	0	63	92	0	0
TCGA-BH-A1EO-01	8	0	32	0	10	0	0
TCGA-BH-A1ET-01	0	0	12	0	14	7	0
TCGA-BH-A1EU-01	2	0	0	0	0	7	25
TCGA-BH-A1EV-01	33	34	23	39	0	0	0
TCGA-BH-A1EW-01	4	0	0	13	0	4	0
TCGA-BH-A1EX-01	0	0	12	16	0	7	0
TCGA-BH-A1EY-01	4	9	11	24	0	7	0
TCGA-BH-A1F0-01	0	16	9	70	0	0	0
TCGA-BH-A1F2-01	12	8	31	20	0	0	0
TCGA-BH-A1F5-01	7	0	12	0	0	0	25
TCGA-BH-A1F6-01	4	4	16	4	16	7	2
TCGA-BH-A1F8-01	92	56	14	0	0	0	30
TCGA-BH-A1FC-01	18	24	23	2	24	14	25
TCGA-BH-A1FE-01	6	0	5	15	0	0	0
TCGA-BH-A1FG-01	0	0	10	0	0	0	11
TCGA-BH-A1FH-01	4	0	8	0	0	0	21
TCGA-BH-A1FJ-01	4	0	13	0	0	0	28
TCGA-BH-A1FL-01	2	0	9	11	0	4	0
TCGA-BH-A1FM-01	12	8	21	21	0	0	0
TCGA-BH-A1FN-01	36	49	0	0	36	0	25
TCGA-BH-A1FR-01	0	2	7	0	8	0	0
TCGA-BH-A1FU-01	4	14	11	38	19	28	4
TCGA-BH-A201-01	3	0	2	11	0	11	0
TCGA-BH-A202-01	4	0	11	0	13	0	0
TCGA-BH-A203-01	15	13	41	3	1	5	21
TCGA-BH-A204-01	3	4	11	9	9	5	11
TCGA-BH-A208-01	20	24	12	0	0	0	26
TCGA-BH-A209-01	34	54	0	31	0	0	0
TCGA-BH-A28Q-01	2	2	15	0	7	0	0
TCGA-BH-A2L8-01	330	298	0	0	0	0	0
TCGA-BH-A42U-01	12	3	0	0	0	0	17
TCGA-BH-A42V-01	28	19	8	0	0	0	0
TCGA-BH-A5IZ-01	6	5	11	21	24	7	22
TCGA-BH-A5J0-01	46	12	17	27	0	0	0
TCGA-BH-A6R8-01	4	2	13	0	0	0	18
TCGA-BH-A6R9-01	0	0	5	11	9	0	0
TCGA-BH-A8FY-01	3	4	4	16	14	6	9
TCGA-BH-A8FZ-01	10	6	15	0	41	19	0
TCGA-BH-A8G0-01	0	0	8	6	0	3	0
TCGA-BH-AB28-01	8	0	22	0	0	13	0
TCGA-C8-A12K-01	15	56	15	0	87	0	0
TCGA-C8-A12L-01	0	6	12	0	42	0	29
TCGA-C8-A12M-01	0	0	29	41	0	12	0
TCGA-C8-A12N-01	0	5	16	0	0	6	0
TCGA-C8-A12O-01	4	0	24	0	0	0	21
TCGA-C8-A12P-01	63	64	29	46	0	0	0
TCGA-C8-A12Q-01	41	34	0	64	0	0	0
TCGA-C8-A12T-01	76	96	0	0	0	0	42
