Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-BH-A0AY-01	2	7	13	0	24	0
TCGA-BH-A0AZ-01	10	13	0	23	16	8
TCGA-BH-A0B0-01	26	64	9	0	0	0
TCGA-BH-A0B3-01	1	2	7	8	0	0
TCGA-BH-A0B6-01	605	663	8	7	0	7
TCGA-BH-A0B7-01	7	5	19	9	2	0
TCGA-BH-A0B8-01	0	7	2	8	15	2
TCGA-BH-A0BA-01	4	6	6	6	1	6
TCGA-BH-A0BC-01	3	10	15	0	16	1
TCGA-BH-A0BF-01	7	0	10	3	8	5
TCGA-BH-A0BG-01	4	5	7	24	0	5
TCGA-BH-A0BJ-01	0	1	2	0	13	1
TCGA-BH-A0BL-01	3	0	17	32	17	0
TCGA-BH-A0BM-01	0	3	1	3	11	1
TCGA-BH-A0BO-01	6	0	7	0	5	13
TCGA-BH-A0BP-01	34	25	44	39	54	0
TCGA-BH-A0BQ-01	0	4	13	5	7	1
TCGA-BH-A0BS-01	0	1	5	11	3	3
TCGA-BH-A0BT-01	1	8	18	13	0	8
TCGA-BH-A0BV-01	1	4	6	2	11	0
TCGA-BH-A0BW-01	8	10	12	32	18	23
TCGA-BH-A0BZ-01	34	11	19	154	44	34
TCGA-BH-A0C0-01	1	5	5	20	3	14
TCGA-BH-A0C1-01	0	10	21	6	1	12
TCGA-BH-A0C3-01	0	0	4	2	7	5
TCGA-BH-A0C7-01	3	1	19	0	30	5
TCGA-BH-A0DD-01	3	6	20	1	0	7
TCGA-BH-A0DE-01	0	4	5	9	15	0
TCGA-BH-A0DG-01	8	7	2	0	25	5
TCGA-BH-A0DH-01	4	14	22	3	2	7
TCGA-BH-A0DI-01	13	12	15	18	0	4
TCGA-BH-A0DK-01	4	4	9	12	19	5
TCGA-BH-A0DL-01	7	14	23	8	0	13
TCGA-BH-A0DO-01	4	5	8	9	0	4
TCGA-BH-A0DP-01	0	6	3	9	0	1
TCGA-BH-A0DQ-01	2	0	13	3	12	5
TCGA-BH-A0DT-01	0	3	6	5	0	1
TCGA-BH-A0DV-01	0	4	0	5	4	2
TCGA-BH-A0DX-01	18	34	13	0	12	0
TCGA-BH-A0DZ-01	117	94	2	0	4	0
TCGA-BH-A0E0-01	1	1	16	6	0	0
TCGA-BH-A0E1-01	5	2	9	0	3	0
TCGA-BH-A0E9-01	0	2	15	8	0	3
TCGA-BH-A0EA-01	1	4	8	0	15	4
TCGA-BH-A0EI-01	0	2	10	3	4	5
TCGA-BH-A0H3-01	0	1	4	0	12	0
TCGA-BH-A0H5-01	67	82	0	0	20	0
TCGA-BH-A0H7-01	4	1	6	0	2	4
TCGA-BH-A0H9-01	0	4	1	8	6	4
