Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-AR-A24M-01	0	1	5	0	11	5	0	3
TCGA-AR-A24N-01	0	6	18	0	5	3	15	0
TCGA-AR-A24O-01	1	0	7	0	1	0	11	2
TCGA-AR-A24P-01	0	0	2	15	2	0	0	0
TCGA-AR-A24Q-01	21	20	4	0	21	101	65	0
TCGA-AR-A24R-01	0	2	10	0	7	1	1	5
TCGA-AR-A24S-01	5	8	15	0	9	5	11	4
TCGA-AR-A24T-01	1	1	10	4	0	0	6	2
TCGA-AR-A24U-01	9	10	8	13	0	4	0	0
TCGA-AR-A24V-01	3	2	9	10	4	0	0	0
TCGA-AR-A24W-01	0	0	0	6	0	0	8	0
TCGA-AR-A24X-01	0	0	4	18	4	0	0	8
TCGA-AR-A24Z-01	3	4	13	1	1	5	6	23
TCGA-AR-A250-01	46	15	27	49	3	0	14	1
TCGA-AR-A251-01	32	5	8	0	15	77	13	55
TCGA-AR-A252-01	0	0	8	0	4	0	7	0
TCGA-AR-A254-01	1	4	11	16	0	0	10	0
TCGA-AR-A255-01	19	14	9	8	5	3	30	1
TCGA-AR-A256-01	16	15	4	30	16	89	11	43
TCGA-AR-A2LE-01	114	177	0	69	0	0	34	0
TCGA-AR-A2LH-01	15	25	1	28	1	0	1	0
TCGA-AR-A2LK-01	0	5	19	3	5	0	3	13
TCGA-AR-A2LL-01	0	0	15	4	0	0	8	10
TCGA-AR-A2LM-01	0	0	0	9	0	0	0	8
TCGA-AR-A2LN-01	3	15	3	22	1	0	10	0
TCGA-AR-A2LO-01	2	2	4	2	0	4	0	3
TCGA-AR-A2LQ-01	0	0	3	0	0	0	0	10
TCGA-AR-A2LR-01	1	1	12	13	3	9	0	31
TCGA-AR-A5QM-01	0	0	9	9	1	0	0	17
TCGA-AR-A5QN-01	0	6	19	5	7	0	12	0
TCGA-AR-A5QP-01	0	4	8	6	5	0	3	8
TCGA-AR-A5QQ-01	8	5	10	0	17	28	22	6
TCGA-B6-A0I1-01	1	5	18	17	0	7	0	32
