MutationType	ID1	ID2	ID7	ID13	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83I	ID83J	ID83K	ID83L	ID83N
4:Ins:R:0	0.00000000	0.00001680	0.00000000	0.00111880	0.00000114	0.00000158	0.00042071	0.00071832	0.00248351	0.00078655	0.00033428	0.00262703	0.00219215	0.00380877	0.00638816
4:Ins:R:1	0.00074438	0.00120373	0.00002610	0.00269163	0.00000145	0.00000000	0.01367750	0.00000336	0.00000351	0.00163126	0.00001448	0.02985731	0.00220634	0.01203621	0.01441963
4:Ins:R:2	0.00007550	0.00001220	0.00019482	0.00006930	0.00000164	0.00000100	0.00000844	0.00019472	0.00000438	0.00006900	0.00002211	0.00037419	0.00089940	0.00283792	0.00232667
4:Ins:R:3	0.00015754	0.00013417	0.00027374	0.00000064	0.00000287	0.00000224	0.00001077	0.00000508	0.00000619	0.00001445	0.00002249	0.00002216	0.00002641	0.00002533	0.00003231
4:Ins:R:4	0.00031965	0.00024939	0.00025876	0.00001210	0.00000287	0.00000224	0.00001077	0.00000508	0.00000619	0.00001445	0.00002249	0.00002216	0.00002641	0.00002533	0.00003231
4:Ins:R:5	0.00100132	0.00219354	0.00000874	0.00000031	0.00000148	0.00000159	0.00000847	0.00019569	0.00000749	0.00039559	0.00002005	0.00031678	0.00054840	0.00087744	0.00057787
5:Ins:R:0	0.00000000	0.00000000	0.00000000	0.00259023	0.00810365	0.00228050	0.00336676	0.00000513	0.00333253	0.00000927	0.00409719	0.00625654	0.00507835	0.00620446	0.00581819
5:Ins:R:1	0.00144313	0.00013566	0.00000000	0.01350195	0.00000027	0.00000170	0.00000661	0.00064357	0.00000343	0.00000722	0.00685466	0.00845041	0.01314965	0.01217842	0.01226831
5:Ins:R:2	0.00025483	0.00000553	0.00000884	0.00004590	0.00000287	0.00000224	0.00001077	0.00000508	0.00000619	0.00001445	0.00002249	0.00002216	0.00002641	0.00002533	0.00003231
5:Ins:R:3	0.00023709	0.00009770	0.00000446	0.00004610	0.00000287	0.00000224	0.00001077	0.00000508	0.00000619	0.00001445	0.00002249	0.00002216	0.00002641	0.00002533	0.00003231
5:Ins:R:4	0.00026187	0.00000215	0.00001060	0.00000243	0.00000178	0.00000160	0.00000791	0.00000446	0.00000483	0.00031295	0.00001993	0.00013231	0.00070737	0.00049848	0.00087666
5:Ins:R:5	0.00011983	0.00011563	0.00000428	0.00004330	0.00000230	0.00000144	0.00000804	0.00038469	0.00000774	0.00027048	0.00014837	0.00031644	0.00002526	0.00100182	0.00083969
2:Del:M:1	0.00119782	0.00017555	0.00312706	0.00887241	0.00000007	0.00000012	0.00000339	0.03420063	0.01505011	0.00000385	0.00000895	0.01016637	0.05428867	0.08859584	0.02450047
3:Del:M:1	0.00008190	0.00000055	0.00025476	0.00114008	0.00563638	0.01436173	0.00000657	0.00000239	0.00000098	0.00000299	0.00783261	0.03872808	0.03028810	0.02782159	0.12493807
3:Del:M:2	0.00147959	0.00294406	0.00463564	0.00045031	0.00234125	0.00000139	0.01396640	0.00823825	0.00000316	0.00000765	0.00001092	0.00656031	0.01299869	0.02290524	0.04730136
4:Del:M:1	0.00008380	0.00014700	0.00018383	0.00127080	0.00071923	0.00000132	0.00000970	0.01046357	0.00000202	0.00000454	0.00466163	0.02834825	0.01985564	0.04666737	0.02294339
4:Del:M:2	0.00014548	0.00055061	0.00101904	0.00015972	0.00000130	0.00000118	0.00070529	0.01023457	0.00000471	0.00140338	0.00219321	0.00207083	0.00946858	0.00536372	0.01037677
4:Del:M:3	0.00016068	0.00069357	0.00071732	0.00027058	0.00000124	0.00000293	0.01162481	0.00177852	0.00000383	0.00027852	0.00048551	0.00185856	0.00291917	0.00299842	0.00217296
5:Del:M:1	0.00000082	0.00062496	0.00002360	0.01174078	0.00000001	0.00000074	0.00000441	0.00000099	0.00000182	0.00000733	0.11744813	0.33680392	0.02325573	0.00000466	0.00001061
5:Del:M:2	0.00000000	0.00011771	0.00024577	0.00705542	0.00000340	0.00000056	0.01544713	0.00164770	0.00000263	0.00679815	0.03391277	0.07439518	0.00940745	0.02604259	0.00915339
5:Del:M:3	0.00000000	0.00005670	0.00006160	0.00216598	0.00000057	0.00000074	0.00000534	0.00528292	0.00000482	0.00317452	0.00759148	0.01517514	0.00606619	0.00682054	0.01165670
5:Del:M:4	0.00003880	0.00046284	0.00006820	0.00028174	0.00000106	0.00103981	0.00000620	0.00286281	0.00000376	0.00087980	0.00314640	0.00135865	0.00283423	0.01481471	0.00609710
5:Del:M:5	0.00066512	0.00236732	0.00173836	0.01313191	0.00009011	0.00062567	0.00176213	0.00000368	0.00191204	0.00000972	0.00100650	0.00058219	0.00055308	0.00218289	0.00266063
