Sample Names	MutationType	DBS1	DBS2	DBS4	DBS6	DBS10	DBS11	DBS13	DBS17	DBS18	DBS78I	DBS78K	DBS78L
PD3851a_non-exome	TG>CA	0.0	0.021630894403872284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9783691055961278
PD3851a_non-exome	TG>CC	0.0	0.0036989387118291557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9963010612881708
PD3851a_non-exome	TG>CT	0.0	0.15392605253710454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8460739474628954
PD3851a_non-exome	TG>GA	0.0	0.9914241180461971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00857588195380279
PD3851a_non-exome	TG>GC	0.0	0.00956424716526062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9904357528347394
PD3851a_non-exome	TG>GT	0.0	0.9985423301821503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014576698178497445
PD3851a_non-exome	TT>AA	0.0	0.11281491616828632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8871850838317137
PD3851a_non-exome	TT>AC	0.0	0.9593764347795447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04062356522045534
PD3851a_non-exome	TT>AG	0.0	0.00500114432761099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9949988556723889
PD3851a_non-exome	TT>CA	0.0	2.8596787010057574e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999999999999714
PD3851a_non-exome	TT>CC	0.0	0.1758187066969887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8241812933030113
PD3851a_non-exome	TT>CG	0.0	0.4825867787483819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5174132212516181
PD3851a_non-exome	TT>GA	0.0	0.7430328176338814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25696718236611854
PD3851a_non-exome	TT>GC	0.0	0.09404745311658022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9059525468834198
PD3851a_non-exome	TT>GG	0.0	2.4820239743256216e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999997519
PD3890a_non-exome	AC>CA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3987094621958674	0.6012905378041326
PD3890a_non-exome	AC>CG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21084907248305718	0.7891509275169428
PD3890a_non-exome	AC>CT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29569153471390225	0.7043084652860977
PD3890a_non-exome	AC>GA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23126114605199927	0.7687388539480008
PD3890a_non-exome	AC>GG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2476979641325156	0.7523020358674845
PD3890a_non-exome	AC>GT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23386888978910086	0.7661311102108991
PD3890a_non-exome	AC>TA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7386899236514538	0.2613100763485461
PD3890a_non-exome	AC>TG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31152379749550735	0.6884762025044926
PD3890a_non-exome	AC>TT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4865675970473861	0.5134324029526138
PD3890a_non-exome	AT>CA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5643337205599194	0.4356662794400806
