Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-B6-A0X1-01	13	4	0	34	14	27	0	0
TCGA-B6-A0X4-01	0	0	0	22	0	0	0	0
TCGA-B6-A0X5-01	0	4	0	35	9	0	0	0
TCGA-B6-A0X7-01	0	4	8	11	0	0	0	0
TCGA-B6-A1KN-01	0	0	11	0	0	0	61	0
TCGA-B6-A2IU-01	0	16	12	26	0	0	0	0
TCGA-B6-A401-01	0	0	9	11	0	0	0	8
TCGA-B6-A409-01	3	3	15	7	3	2	6	17
TCGA-B6-A40B-01	5	14	12	0	0	0	35	0
TCGA-B6-A40C-01	0	4	26	0	0	0	24	0
TCGA-BH-A0AU-01	3	0	9	0	0	0	0	11
TCGA-BH-A0AV-01	11	4	0	13	13	24	0	22
TCGA-BH-A0AY-01	0	5	8	21	0	0	0	12
TCGA-BH-A0AZ-01	10	13	0	0	0	19	28	0
TCGA-BH-A0B0-01	20	46	0	33	0	0	0	0
TCGA-BH-A0B3-01	1	2	7	0	0	8	0	0
TCGA-BH-A0B6-01	542	597	0	151	0	0	0	0
TCGA-BH-A0B7-01	6	3	10	23	0	0	0	0
TCGA-BH-A0B8-01	0	5	0	8	0	0	21	0
TCGA-BH-A0BA-01	3	6	7	0	5	8	0	0
TCGA-BH-A0BC-01	3	8	12	9	0	0	0	13
TCGA-BH-A0BF-01	7	0	9	7	0	0	0	10
TCGA-BH-A0BG-01	4	5	7	0	0	14	0	15
TCGA-BH-A0BJ-01	0	0	0	10	0	0	0	7
TCGA-BH-A0BL-01	3	0	14	0	0	27	0	25
TCGA-BH-A0BM-01	0	3	0	0	0	0	16	0
TCGA-BH-A0BO-01	4	0	4	10	13	0	0	0
TCGA-BH-A0BP-01	32	18	25	56	0	0	65	0
TCGA-BH-A0BQ-01	0	4	11	0	0	0	0	15
TCGA-BH-A0BS-01	0	1	4	0	0	0	0	18
TCGA-BH-A0BT-01	1	5	12	13	6	1	9	1
TCGA-BH-A0BV-01	0	4	5	0	0	0	15	0
TCGA-BH-A0BW-01	8	11	12	0	20	24	0	28
TCGA-BH-A0BZ-01	32	10	18	0	29	129	78	0
TCGA-BH-A0C0-01	0	5	6	0	14	23	0	0
TCGA-BH-A0C1-01	0	9	18	0	9	0	0	14
TCGA-BH-A0C3-01	0	0	0	11	7	0	0	0
TCGA-BH-A0C7-01	3	0	17	9	0	0	0	29
TCGA-BH-A0DD-01	3	4	14	10	6	0	0	0
TCGA-BH-A0DE-01	0	2	0	7	0	0	13	11
TCGA-BH-A0DG-01	10	6	0	31	0	0	0	0
TCGA-BH-A0DH-01	0	15	23	0	0	0	14	0
TCGA-BH-A0DI-01	13	12	16	0	0	21	0	0
TCGA-BH-A0DK-01	4	3	9	0	0	14	23	0
TCGA-BH-A0DL-01	6	14	21	0	11	0	0	13
TCGA-BH-A0DO-01	4	3	5	18	0	0	0	0
TCGA-BH-A0DP-01	0	5	0	7	0	7	0	0
TCGA-BH-A0DQ-01	0	0	14	0	0	0	0	21
TCGA-BH-A0DT-01	0	4	6	0	0	0	0	5
TCGA-BH-A0DV-01	0	3	0	0	0	0	0	12
TCGA-BH-A0DX-01	16	31	13	0	0	0	0	17
TCGA-BH-A0DZ-01	102	79	0	36	0	0	0	0
TCGA-BH-A0E0-01	0	0	12	12	0	0	0	0
TCGA-BH-A0E1-01	4	0	4	11	0	0	0	0
TCGA-BH-A0E9-01	0	2	15	0	0	11	0	0
TCGA-BH-A0EA-01	0	3	6	11	0	0	0	12
TCGA-BH-A0EI-01	0	0	10	0	0	0	14	0
TCGA-BH-A0H3-01	0	1	3	0	0	0	0	13
TCGA-BH-A0H5-01	60	67	0	42	0	0	0	0
TCGA-BH-A0H7-01	4	0	4	5	4	0	0	0
TCGA-BH-A0H9-01	0	4	0	0	5	0	0	14
TCGA-BH-A0HA-01	18	27	139	0	198	0	0	0
TCGA-BH-A0HI-01	0	7	11	0	0	0	17	0
TCGA-BH-A0HK-01	9	25	9	20	0	0	0	0
TCGA-BH-A0HN-01	0	4	11	19	0	0	0	0
TCGA-BH-A0HP-01	155	150	0	52	0	0	0	0
TCGA-BH-A0RX-01	0	4	28	17	0	0	0	0
TCGA-BH-A0W3-01	2	3	5	0	0	0	0	13
TCGA-BH-A0W4-01	0	6	0	33	0	0	0	0
TCGA-BH-A0W5-01	0	0	9	8	5	7	0	0
TCGA-BH-A0W7-01	133	128	0	0	0	0	0	0
TCGA-BH-A0WA-01	7	13	7	0	0	39	47	0
TCGA-BH-A18F-01	0	17	10	26	0	0	14	0
TCGA-BH-A18G-01	0	0	494	0	983	0	191	0
TCGA-BH-A18H-01	4	7	0	15	11	0	17	0
TCGA-BH-A18I-01	0	4	14	13	0	0	0	0
TCGA-BH-A18J-01	35	57	0	0	19	0	0	0
TCGA-BH-A18K-01	13	15	3	9	6	4	14	4
TCGA-BH-A18L-01	0	0	25	14	0	0	26	0
TCGA-BH-A18M-01	3	2	8	0	0	0	5	0
TCGA-BH-A18N-01	0	0	16	11	16	0	0	0
TCGA-BH-A18P-01	162	192	0	84	0	0	0	0
TCGA-BH-A18Q-01	8	1	1	10	6	33	10	38
TCGA-BH-A18R-01	0	5	0	12	0	25	0	0
TCGA-BH-A18S-01	3	0	0	10	11	0	13	0
TCGA-BH-A18T-01	12	6	9	1	11	51	6	6
TCGA-BH-A18U-01	34	57	31	0	0	0	0	56
TCGA-BH-A18V-01	71	28	0	0	0	98	53	0
TCGA-BH-A1EO-01	0	7	26	0	0	0	0	17
TCGA-BH-A1ET-01	0	0	10	0	6	0	17	0
