Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-AR-A0U2-01	0	11	24	21
TCGA-AR-A0U3-01	0	10	22	8
TCGA-AR-A0U4-01	57	121	2	21
TCGA-AR-A1AH-01	10	67	3	40
TCGA-AR-A1AI-01	19	26	31	13
TCGA-AR-A1AJ-01	25	0	22	6
TCGA-AR-A1AK-01	35	17	28	2
TCGA-AR-A1AL-01	7	5	8	10
TCGA-AR-A1AN-01	2	0	20	9
TCGA-AR-A1AO-01	28	63	24	7
TCGA-AR-A1AP-01	9	2	34	6
TCGA-AR-A1AQ-01	2	16	11	12
TCGA-AR-A1AR-01	7	31	16	9
TCGA-AR-A1AS-01	16	3	13	9
TCGA-AR-A1AT-01	1	16	10	5
TCGA-AR-A1AU-01	1	5	12	8
TCGA-AR-A1AV-01	2	7	31	9
TCGA-AR-A1AW-01	2	15	10	14
TCGA-AR-A1AX-01	2	9	21	0
TCGA-AR-A1AY-01	12	21	27	12
TCGA-AR-A24H-01	25	99	12	16
TCGA-AR-A24K-01	0	16	11	7
TCGA-AR-A24L-01	7	36	1	9
TCGA-AR-A24M-01	1	7	3	14
TCGA-AR-A24N-01	4	9	22	12
TCGA-AR-A24O-01	0	8	9	5
TCGA-AR-A24P-01	0	4	13	2
TCGA-AR-A24Q-01	44	149	7	32
TCGA-AR-A24R-01	0	3	12	11
TCGA-AR-A24S-01	10	10	22	15
TCGA-AR-A24T-01	1	4	19	0
TCGA-AR-A24U-01	20	3	21	0
TCGA-AR-A24V-01	4	1	17	6
TCGA-AR-A24W-01	1	7	6	0
TCGA-AR-A24X-01	0	9	20	5
TCGA-AR-A24Z-01	4	25	22	5
TCGA-AR-A250-01	59	30	49	17
TCGA-AR-A251-01	34	144	0	27
TCGA-AR-A252-01	0	0	10	9
TCGA-AR-A254-01	3	9	30	0
TCGA-AR-A255-01	31	31	18	9
TCGA-AR-A256-01	33	148	24	19
TCGA-AR-A2LE-01	331	0	63	0
TCGA-AR-A2LH-01	48	0	23	0
TCGA-AR-A2LK-01	2	5	31	10
TCGA-AR-A2LL-01	0	11	23	3
TCGA-AR-A2LM-01	0	11	6	0
TCGA-AR-A2LN-01	25	0	29	0
TCGA-AR-A2LO-01	3	7	7	0
TCGA-AR-A2LQ-01	0	5	5	3
TCGA-AR-A2LR-01	0	37	25	8
TCGA-AR-A5QM-01	0	13	18	5
TCGA-AR-A5QN-01	3	1	34	11
TCGA-AR-A5QP-01	2	6	18	8
TCGA-AR-A5QQ-01	12	49	8	27
TCGA-B6-A0I1-01	2	34	44	0
TCGA-B6-A0IH-01	0	2	25	14
TCGA-B6-A0RH-01	16	9	16	4
TCGA-B6-A0RL-01	15	9	35	10
TCGA-B6-A0RM-01	5	4	18	9
TCGA-B6-A0RN-01	0	2	18	13
TCGA-B6-A0RO-01	5	20	12	6
TCGA-B6-A0RP-01	0	14	12	4
TCGA-B6-A0RQ-01	20	9	23	4
TCGA-B6-A0RT-01	18	42	3	9
TCGA-B6-A0RU-01	7	18	22	11
TCGA-B6-A0RV-01	53	0	11	3
TCGA-B6-A0WS-01	4	3	0	11
TCGA-B6-A0WT-01	0	0	16	6
TCGA-B6-A0WV-01	4	17	6	10
TCGA-B6-A0WW-01	11	13	20	3
TCGA-B6-A0WX-01	0	17	16	12
TCGA-B6-A0WY-01	8	4	10	13
TCGA-B6-A0WZ-01	78	0	17	0
TCGA-B6-A0X0-01	1	13	11	0
TCGA-B6-A0X1-01	21	46	10	15
TCGA-B6-A0X4-01	0	5	17	0
TCGA-B6-A0X5-01	8	19	16	5
TCGA-B6-A0X7-01	4	1	16	2
TCGA-B6-A1KN-01	3	38	16	15
TCGA-B6-A2IU-01	16	0	35	3
TCGA-B6-A401-01	0	8	14	6
TCGA-B6-A409-01	4	19	26	7
TCGA-B6-A40B-01	17	21	21	7
TCGA-B6-A40C-01	1	13	32	8
TCGA-BH-A0AU-01	2	7	7	7
TCGA-BH-A0AV-01	16	52	2	17
TCGA-BH-A0AY-01	5	16	25	0
TCGA-BH-A0AZ-01	22	39	1	8
TCGA-BH-A0B0-01	72	0	27	0
TCGA-BH-A0B3-01	2	7	8	1
TCGA-BH-A0B6-01	1183	0	107	0
TCGA-BH-A0B7-01	8	10	23	1
TCGA-BH-A0B8-01	5	17	11	1
TCGA-BH-A0BA-01	8	6	8	7
TCGA-BH-A0BC-01	11	5	26	3
TCGA-BH-A0BF-01	6	10	8	9
TCGA-BH-A0BG-01	8	23	5	9
TCGA-BH-A0BJ-01	0	9	6	2
TCGA-BH-A0BL-01	0	45	22	2
TCGA-BH-A0BM-01	3	11	5	0
TCGA-BH-A0BO-01	5	3	5	18
TCGA-BH-A0BP-01	46	79	68	3
TCGA-BH-A0BQ-01	1	10	16	3
TCGA-BH-A0BS-01	0	12	7	4
TCGA-BH-A0BT-01	5	9	26	8
TCGA-BH-A0BV-01	4	7	13	0
TCGA-BH-A0BW-01	16	46	13	28
TCGA-BH-A0BZ-01	39	196	12	49
TCGA-BH-A0C0-01	5	23	6	14
TCGA-BH-A0C1-01	6	3	23	18
TCGA-BH-A0C3-01	0	6	5	7
TCGA-BH-A0C7-01	1	16	27	14
TCGA-BH-A0DD-01	5	0	22	10
TCGA-BH-A0DE-01	1	20	12	0
TCGA-BH-A0DG-01	16	16	10	5
TCGA-BH-A0DH-01	13	0	30	9
TCGA-BH-A0DI-01	21	16	16	9
TCGA-BH-A0DK-01	6	27	13	7
TCGA-BH-A0DL-01	17	5	24	19
TCGA-BH-A0DO-01	6	7	12	5
TCGA-BH-A0DP-01	5	7	7	0
TCGA-BH-A0DQ-01	0	11	15	9
TCGA-BH-A0DT-01	2	3	8	2
TCGA-BH-A0DV-01	4	9	0	2
TCGA-BH-A0DX-01	47	4	26	0
TCGA-BH-A0DZ-01	200	7	10	0
TCGA-BH-A0E0-01	0	3	18	3
TCGA-BH-A0E1-01	5	0	11	3
TCGA-BH-A0E9-01	0	5	16	7
